Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
309,ucsb mining,210.81,0,28.8,29.7,29.45,"Wed Dec 7, 2022 - 15:11:22",User,2,ppm,,,,M1801-9.25,Mining,0,3.8492,32780.9375,441.5942,5.1696,1.3693,0,5.2906,246.0587,36.2017,592005.1875,2702.9253,0,1.9831,144916.4531,340.6874,7.0799,2.5903,19240.2031,65.4569,0,46.7262,98.4795,6.6451,34.9704,4.6666,11902.4189,102.2843,0,0,0,2.9093,17370.084,155.7933,8621.2012,1269.6924,89.1786,24.8664,25.0706,1.2357,1.2264,0.8705,133.9302,8.4896,1496.723,92.7562,9.8509,1.4354,0,2.0651,59.2242,1.677,0,0,11391.6514,58.6651,0,6.9807,5.0199,1.0496,156803.0312,322.4524,9.9192,3.9414,809.2885,2.9287,0,0,4.3578,1.1553,1466.7122,31.0633,22.1129,2.8939,247.7908,10.8522,0,0,15.5569,0.9294,127.3896,5.8353,53.6915,1.9056
310,ucsb mining,210.79,0,29.67,29.32,28.7,"Wed Dec 7, 2022 - 15:15:59",User,2,ppm,,,,M1801-1.0,Mining,0,3.2434,21165.666,404.8604,3.4978,1.2678,0,5.3888,572.9321,40.2835,545481.5,2973.9028,0,2.0519,197494.8906,381.9199,0,3.9491,11637.9023,53.4516,0,43.7156,52.9713,6.6661,12.5816,4.2351,9744.6924,98.3705,0,0,0,3.0466,10478.6016,130.7921,8854.5439,1384.8136,136.0897,27.4746,3.2914,1.1368,1.8281,0.9278,65.0305,7.1689,5021.7412,166.4083,4.7467,1.3423,0,2.1721,27.9275,1.4721,0,0,6674.9624,49.2248,0,7.2988,1.7279,0.9872,180559.8438,352.2057,16.0156,4.1583,842.0173,3.1333,0,0,3.8245,1.1636,877.6575,33.3355,22.3194,3.0533,83.8021,9.0605,0,0,22.1706,0.9743,92.8658,5.6167,42.3325,1.9759
311,ucsb mining,210.79,0,29.57,29.5,29.48,"Wed Dec 7, 2022 - 15:23:55",User,2,ppm,,,,MAG1,Mining,0,2.146,85286.3047,675.9136,3.3941,1.5634,0,4.8059,361.8954,33.3789,557986.25,3256.3474,0,1.8821,7005.5366,128.6537,0,3.3154,33863.3047,85.8832,0,75.5505,113.5928,7.5387,27.5804,4.1576,40621.6875,153.9969,0,0,0,2.7277,30895.3164,236.7525,21474.1094,1326.7009,638.0342,36.5259,0,1.5397,13.2309,0.8759,66.0572,7.5759,701.1346,69.5866,28.0331,1.7303,0,1.8743,172.706,2.2114,0,0,3325.5996,34.4207,0,6.3054,0,1.618,213128.9844,351.8405,6.7555,3.516,125.0709,1.1386,0,0,17.5128,1.372,3745.0642,47.6516,4.5589,1.7724,136.0602,13.2383,0,0,18.8044,1.0957,118.0212,5.3997,115.3887,1.5798
312,ucsb mining,210.25,0,29.32,29.78,28.77,"Wed Dec 7, 2022 - 15:27:34",User,2,ppm,,,,MAG1,Mining,0,2.1839,86408.2344,674.2532,2.8335,1.5551,0,4.8315,369.7118,34.1143,556727.625,3248.7083,0,1.8351,7017.0894,129.1873,0,3.3457,33917.1133,85.598,0,75.7359,115.6056,7.5832,28.6696,4.1844,40578.6836,153.9739,0,0,0,4.2611,30801.377,237.0569,20314.5859,1303.4028,619.6484,36.0952,0,1.4802,13.0562,0.874,64.4201,7.6028,687.7779,69.3603,28.488,1.7339,0,1.9134,171.047,2.203,0,0,3348.7551,34.2955,0,6.3968,0,1.6902,214504.5156,351.1646,5.8835,3.5819,127.4759,1.1496,0,0,16.0818,1.3378,3744.717,48.0032,4.4125,1.7755,128.9813,13.2316,0,0,18.3094,1.0901,119.9588,5.4321,114.9174,1.5791
313,ucsb mining,206.87,0,29.1,28.68,29.21,"Wed Dec 7, 2022 - 15:42:51",User,2,ppm,,,,MAG1,Mining,0,2.1719,85891.2188,688.4908,2.6651,1.6096,0,4.8315,360.7586,34.0254,556454.875,3292.999,0,1.9254,7217.9897,132.2494,0,3.3737,33836.2305,86.7992,0,76.027,113.5155,7.6695,24.6051,4.0971,40791.1953,154.7067,0,0,0,3.2674,30870.3105,241.4878,21684.6309,1346.6704,612.0632,36.2173,0,1.4728,14.0666,0.8836,63.888,7.5971,673.2543,70.2096,31.688,1.8056,0,1.8982,173.5596,2.2205,0,0,3314.4124,34.694,0,6.4462,0,1.8761,213518.5469,356.0483,0,8.8341,125.4486,1.1442,0,0,18.3677,1.4022,3822.2849,48.2609,3.4812,1.7537,131.7935,13.4607,0,0,18.7123,1.1012,117.5898,5.4126,112.885,1.5741
314,ucsb mining,210.87,0,28.78,29.74,28.99,"Wed Dec 7, 2022 - 15:47:09",User,2,ppm,,,,M1801-9.5,Mining,0,2.2903,33129.1016,420.3752,3.7038,1.2093,0,4.6667,209.9925,32.2573,577865.25,2739.9805,0,1.8283,98317.1875,297.2371,0,4.5595,7930.1763,43.1652,0,57.5054,86.2051,6.2203,20.58,4.0473,17501.7695,115.9938,0,0,0,2.6659,13660.8115,139.5733,16497.9922,1233.1431,204.7562,27.3312,7.9436,1.0427,1.8512,0.8079,79.9724,7.3127,1492.2396,91.9772,7.6225,1.2753,0,1.8994,50.8922,1.458,0,0,6293.2461,44.6191,0,6.2755,2.6939,0.9009,224327.4844,360.2054,0,8.7559,536.614,2.3117,0,0,3.233,1.0419,1393.6866,29.1962,13.8685,2.3704,194.2861,9.745,0,0,15.2581,0.8612,99.5169,5.1815,52.0979,1.6158
315,ucsb mining,210.01,0,29.45,29.19,29.68,"Wed Dec 7, 2022 - 15:51:24",User,2,ppm,,,,M1801-0.7,Mining,0,2.944,27415.293,476.1938,0,3.0532,0,5.468,481.7653,42.8989,566375.6875,2952.1357,1.8186,1.5087,249843.0625,427.7736,0,4.2763,9107.9092,48.3979,0,43.9638,52.6991,7.2414,11.3782,4.2035,9658.0059,97.6935,0,0,0,4.9073,10451.126,137.2976,9383.6396,1506.9598,306.9791,32.8275,3.8169,1.1684,0,1.7421,52.0733,6.9523,2263.5493,118.8168,11.8848,1.5462,0,2.3654,25.7169,1.529,0,0,5781.2686,45.9262,0,7.9393,1.3937,0.9914,106987.6406,292.0252,17.6269,4.5196,825.2231,3.0942,0,0,5.7861,1.3768,640.1619,33.2149,35.6247,3.2676,131.6829,9.9721,0,0,25.627,1.0109,64.4481,5.1576,37.1429,1.941
316,ucsb mining,210.26,0,29.23,29.29,28.82,"Wed Dec 7, 2022 - 15:55:47",User,2,ppm,,,,M1801-0.7,Mining,0,2.6078,27781.8965,468.1713,1.7478,1.338,0,5.4732,464.0915,40.8653,565211.6875,2921.0364,0,2.0809,250998.6719,425.9619,0,3.9932,9130.7373,47.8553,0,44.3623,41.4797,7.0769,16.6817,4.386,9633.2207,98.6891,0,0,0,4.2697,10711.0391,135.7459,8498.9824,1464.1809,307.1508,33.1714,5.4662,1.1531,2.3026,0.9363,52.2662,7.0144,2330.8257,117.7013,9.704,1.503,0,2.2357,30.3779,1.469,0,0,5891.3745,45.551,0,7.5551,1.8068,1.0098,107123.3672,288.9786,16.7154,4.311,828.9509,3.1356,0,0,6.2474,1.2316,635.0035,33.2736,15.9956,2.9592,128.7104,9.938,0,0,24.4763,1.0129,63.5767,5.1874,35.4106,1.9535
317,ucsb mining,210.49,0,29.15,29.39,28.8,"Wed Dec 7, 2022 - 16:02:35",User,2,ppm,,,,M1801-7.0,Mining,0,2.2555,24414.2051,392.4039,3.1726,1.1884,0,4.8992,202.6119,34.3509,572217.625,2737.1396,0,1.8459,144681.4375,343.6985,0,3.9651,20424.0312,67.2258,0,47.0062,62.6511,6.1763,14.3761,3.9197,12878.9062,103.6298,0,0,0,2.7499,10960.2617,129.5978,14228.8438,1340.6628,194.4645,27.2918,3.3969,1.0359,1.9298,0.8449,53.8818,6.5839,1654.38,97.7315,6.3359,1.2695,0,1.9694,41.0993,1.4407,0,0,6161.9409,44.9547,0,6.6743,1.6885,0.9011,189790.8906,344.8821,11.164,3.7767,651.5514,2.5749,0,0,4.745,1.0798,1054.8414,28.1689,19.5305,2.6207,101.4196,8.5181,0,0,20.1383,0.9047,98.4414,5.2547,40.021,1.6775
318,ucsb mining,211.51,0,28.96,29.82,29.7,"Wed Dec 7, 2022 - 16:06:52",User,2,ppm,,,,M1801-26.7,Mining,0,2.2874,43411.7539,488.3916,8.3678,1.3844,0,5.0868,479.0218,36.1362,588254.0625,2711.8433,0,1.9551,135912.5781,331.2149,8.973,2.4762,5772.1021,38.796,0,47.2018,119.7549,6.7957,33.8909,4.5298,12944.4004,103.8063,0,0,0,3.5531,16866.541,152.4728,8967.1729,1210.9139,144.6399,26.1591,22.9673,1.2031,2.7697,0.8642,131.1032,8.2598,1877.8203,100.1534,7.5528,1.3423,0,1.989,60.7767,1.6277,0,0,15142.6006,66.6579,0,6.676,3.7077,1.0245,166740.7188,329.4208,6.3733,3.7348,696.2376,2.6625,0,0,4.3333,1.1287,1943.8484,35.5612,20.4576,2.7048,170.4437,10.6606,0,10.8437,22.0258,0.9655,144.4469,5.9622,78.5413,1.8862
