Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
22,Mining,211.27,29.14,29.64,29.2,116.9,"Thu Jan 6, 2022 - 17:53:32",User,2,ppm,Mining,,,,,,EA2110_55.9_A,1.7055,1.4377,13615.2617,260.9947,5.1636,1.1976,<LOD,5.421,226.6499,29.0899,708788.625,1269.473,<LOD,1.7608,116770.9531,293.7101,8.1661,2.2861,35845.8633,79.9049,<LOD,36.3124,85.7185,5.4496,46.5526,5.0247,7879.6611,81.893,<LOD,0,<LOD,2.6387,8032.5894,107.0841,5661.0488,940.2311,<LOD,47.9252,<LOD,1.5766,<LOD,1.2229,162.0053,8.7012,7574.8228,162.8103,<LOD,1.8094,<LOD,2.0175,37.9467,1.5395,<LOD,0,14641.2139,61.736,<LOD,8.2601,8.3569,1.084,78643.7969,216.0381,8.1858,3.4784,687.7139,2.3602,<LOD,0,4.7644,1.0786,881.2652,22.5385,15.9194,2.0075,177.0818,8.312,<LOD,0,6.3381,0.8052,157.9972,6.137,24.5846,1.5996
23,Mining,211.39,29.83,29.25,29.61,115.63,"Thu Jan 6, 2022 - 17:57:32",User,2,ppm,Mining,,,,,,EA2110_55.9_B,<LOD,2.9213,13509.4531,261.5962,4.5022,1.1545,<LOD,5.2137,231.5217,29.3382,713502.75,1254.1779,<LOD,1.8441,115457.8672,294.0257,6.3337,2.2861,35812.125,80.1185,<LOD,35.8412,88.4212,5.4616,50.6345,5.0188,7848.2954,80.1447,<LOD,0,<LOD,2.5971,7782.7476,106.2994,5608.3994,938.1366,<LOD,29.4151,<LOD,1.55,<LOD,1.1879,168.6183,8.6766,6462.9688,152.1232,<LOD,1.7548,<LOD,1.909,37.8229,1.5106,<LOD,0,14118.1338,60.8593,<LOD,9.8287,6.3274,1.0091,77381.7422,215.6389,10.5439,3.5183,694.6771,2.3259,<LOD,0,3.946,1.0886,846.209,22.8744,15.9259,1.974,155.8201,8.0697,<LOD,0,8.0363,0.8038,160.6588,6.0561,25.6325,1.5789
9,Mining,210.51,29.58,29.83,29.33,114.97,"Mon Jan 10, 2022 - 12:22:18",User,2,ppm,Mining,,,,,,EA2110_56.2_A,<LOD,2.161,16914.4688,282.3571,2.8609,1.132,<LOD,5.2094,202.8848,28.7878,634159.625,1374.3104,<LOD,1.752,91740.4922,268.4748,5.3832,2.2477,42820.875,88.1225,<LOD,38.3771,105.9438,5.6635,115.2701,6.1626,8625.9824,85.375,<LOD,0,<LOD,2.4897,7404.4331,103.8091,4928.4731,919.7921,<LOD,38.695,<LOD,1.5563,<LOD,1.1938,81.2418,7.258,7110.6055,157.2734,<LOD,1.8028,<LOD,1.8982,40.899,1.5353,<LOD,0,12700.6592,57.7495,<LOD,6.1413,6.9016,1.0299,170969.0156,289.5614,7.7028,3.4571,625.4073,2.2539,<LOD,0,3.8778,1.0577,1111.9978,22.6793,12.9241,1.9116,174.9833,8.404,<LOD,0,3.5665,0.7766,99.6987,5.3344,23.9233,1.5406
10,Mining,210.57,29.32,29.92,29.83,115.1,"Mon Jan 10, 2022 - 12:26:46",User,2,ppm,Mining,,,,,,EA2110_56.2_B,<LOD,2.1509,17703.9414,285.7556,3.932,1.1355,<LOD,5.2266,209.2112,27.7336,632722.1875,1356.5085,<LOD,1.7237,92561.1016,268.105,2.6907,2.137,42315.6016,87.4327,<LOD,38.0904,106.2452,5.6481,114.5179,6.0813,8696.3125,84.6424,<LOD,0,<LOD,2.4829,7575.8833,104.2648,3932.7168,901.3604,<LOD,28.4783,<LOD,1.5598,<LOD,1.1895,85.6991,7.268,7191.7808,158.2045,<LOD,1.7523,<LOD,1.8325,42.2569,1.5415,<LOD,0,12706.4658,57.7404,<LOD,6.4558,6.574,1.0156,171979.4219,289.6779,5.8889,3.3181,641.0177,2.2545,<LOD,0,4.4176,1.0536,1071.1587,23.087,14.1227,1.9187,171.0718,8.3355,<LOD,0,4.3712,0.7778,107.7652,5.3872,23.6911,1.5346
12,Mining,210.03,29.48,29.01,29.22,115.95,"Mon Jan 10, 2022 - 12:36:04",User,2,ppm,Mining,,,,,,EA2110_56.5_A,1.6908,1.4692,17754.0215,302.9334,3.8516,1.1902,<LOD,5.2693,232.7326,29.7473,652786.5,1369.2659,<LOD,1.8418,118056.0312,301.4137,<LOD,5.2745,33078.7773,79.0328,<LOD,43.2841,121.7683,6.1605,24.7904,4.5632,10971.457,95.4,<LOD,0,<LOD,2.5555,10066.5645,121.7616,2719.748,951.7386,<LOD,32.669,2.2265,1.1002,<LOD,1.2492,131.6367,8.4052,6158.6626,151.8117,<LOD,1.8519,<LOD,1.9176,43.9795,1.6176,<LOD,0,25983.7129,81.1302,<LOD,6.6599,6.3836,1.0329,119452.125,259.744,6.5303,3.5423,731.3911,2.4558,<LOD,0,4.2971,1.1126,1293.6285,26.0079,15.1816,2.0445,166.7962,9.0595,<LOD,0,6.3381,0.8258,147.7918,6.0547,31.4278,1.6798
14,Mining,209.96,29.96,29.41,28.89,115.95,"Mon Jan 10, 2022 - 12:40:25",User,2,ppm,Mining,,,,,,EA2110_56.5_B,2.2817,1.4809,19543.0801,315.4428,2.4981,1.2288,<LOD,5.0389,235.7386,29.8027,636747.8125,1405.4147,<LOD,1.8079,122344.4531,307.0969,5.5067,2.31,34493.9102,80.7027,<LOD,43.1921,128.6638,6.2853,29.9675,4.5952,11226.8047,95.2389,<LOD,0,<LOD,2.674,10358.6348,123.6554,3736.9082,982.2946,<LOD,29.8438,2.7985,1.0872,<LOD,1.2305,118.3271,8.061,6787.3892,157.5422,4.5544,1.306,<LOD,1.9504,44.974,1.5993,<LOD,0,26715.9609,82.1955,<LOD,9.9356,5.9908,0.9991,124988.5234,263.3199,<LOD,7.5056,733.765,2.4325,<LOD,0,4.1039,1.0967,1362.745,26.8155,13.6545,2.0034,181.4089,9.3898,<LOD,0,6.1268,0.8176,139.9664,5.8747,33.3371,1.6695
15,Mining,211.09,29.75,28.93,29.45,115.96,"Mon Jan 10, 2022 - 12:44:42",User,2,ppm,Mining,,,,,,EA2110_56.8_A,2.3548,1.3364,14130.6445,270.7997,2.3771,1.0311,<LOD,5.0392,132.2438,26.2629,612770.75,1371.2933,<LOD,1.7582,99002.4766,274.8173,4.3246,2.0721,44177.4336,90.3641,<LOD,32.3689,82.2773,5.3618,12.9902,3.9323,6502.9131,72.3424,<LOD,0,<LOD,2.4087,6068.3198,94.9311,4389.6104,934.8264,<LOD,26.9633,<LOD,1.4547,<LOD,1.1228,56.1056,6.3634,4517.9536,131.65,<LOD,1.638,<LOD,1.8241,33.0893,1.3666,<LOD,0,15311.8066,63.4631,<LOD,5.7011,4.121,0.9232,191110.8594,301.9185,<LOD,5.4074,653.6589,2.2122,<LOD,0,3.2778,1.0272,818.4301,21.2066,7.5356,1.774,116.8789,7.2931,<LOD,0,<LOD,1.3516,68.4532,4.6243,19.2168,1.4783
16,Mining,210.26,29.42,29.67,29.67,114.78,"Mon Jan 10, 2022 - 12:48:46",User,2,ppm,Mining,,,,,,EA2110_56.8_B,1.5566,1.3261,14320.4629,272.0694,2.0228,1.0238,<LOD,4.8365,113.48,26.2078,611046.4375,1378.2751,<LOD,1.687,98017.7891,274.5053,3.6611,2.0698,42984.918,89.2335,<LOD,32.6018,87.3738,5.433,14.5034,3.9696,6598.9165,73.081,<LOD,0,<LOD,2.3519,6236.5029,96.0356,4821.4272,936.8178,<LOD,27.396,<LOD,1.4658,<LOD,1.1297,47.7396,6.1917,4233.0464,129.5801,<LOD,1.6506,<LOD,2.7286,33.972,1.3738,<LOD,0,14942.2119,62.9192,<LOD,5.6512,4.1818,0.9135,194770.375,304.2607,<LOD,7.9534,647.9824,2.2103,<LOD,0,4.5611,1.0258,856.6862,21.5805,6.8565,1.7646,116.2507,7.3511,<LOD,0,<LOD,1.0493,67.8694,4.6283,19.2215,1.4795
18,Mining,211.29,29.37,29.24,29.09,116.84,"Mon Jan 10, 2022 - 12:57:47",User,2,ppm,Mining,,,,,,EA2110_57.1_A,<LOD,3.4482,17041.9531,289.6649,3.2612,1.2354,<LOD,5.0987,190.1239,29.9179,668292.75,1317.6381,<LOD,1.7712,118476.2266,300.4105,2.884,2.3131,33826.2188,78.5373,<LOD,42.207,114.0505,6.038,30.0099,4.5575,10942.8545,93.8684,<LOD,0,<LOD,2.548,9292.1338,116.4775,3805.0132,926.1215,<LOD,49.5806,<LOD,1.595,<LOD,1.2253,96.6055,7.579,7411.6089,162.0229,4.0082,1.2875,<LOD,1.9895,40.7349,1.539,<LOD,0,14115.6533,61.0652,<LOD,8.3909,6.1523,1.0056,113966.2188,252.5401,<LOD,7.6888,716.6328,2.3938,<LOD,0,4.3861,1.0818,1292.4318,26.3119,12.1342,1.9597,163.7823,8.9637,<LOD,0,8.9397,0.8286,113.2085,5.4918,29.9328,1.6354
19,Mining,210.17,29.69,29.59,29.75,113.51,"Mon Jan 10, 2022 - 13:01:55",User,2,ppm,Mining,,,,,,EA2110_57.1_B,<LOD,2.992,17670.9766,299.745,2.3652,1.1973,<LOD,5.1546,203.6502,28.7527,664766.625,1335.9733,<LOD,1.7584,119267.9609,299.2774,5.4701,2.2423,35093.5,81.1577,<LOD,41.3835,109.3071,5.9465,29.101,4.4934,10968.3789,92.9909,<LOD,0,<LOD,2.5133,9384.9395,116.1962,3951.3987,951.0588,<LOD,30.5104,<LOD,2.1645,<LOD,1.2165,100.038,7.5015,7464.4194,165.416,4.0373,1.2772,<LOD,1.9035,41.5103,1.5252,<LOD,0,13996.7881,61.9101,<LOD,6.1124,6.6955,1.0145,114606.2656,256.827,6.1189,3.4408,722.287,2.3789,<LOD,0,3.5848,1.0586,1268.4308,26.0603,10.9545,1.9273,156.4181,8.7894,<LOD,0,9.828,0.8283,116.0534,5.4741,32.9678,1.6355
20,Mining,210.79,29.73,29.14,29.72,115.88,"Mon Jan 10, 2022 - 13:06:01",User,2,ppm,Mining,,,,,,EA2110_57.8_A,2.043,1.4839,18188.8242,305.7287,7.8692,1.3473,<LOD,5.3962,180.0103,29.6065,665065.375,1340.3334,<LOD,1.9569,149859.8594,328.7207,18.4171,2.4444,20301.5977,61.8558,<LOD,40.9537,140.6278,6.5842,39.363,4.9469,9683.1309,90.727,<LOD,0,<LOD,2.7126,9799.6582,120.7554,2480.6196,938.5558,<LOD,32.0245,8.7822,1.1796,<LOD,1.321,147.9292,8.6917,7743.0312,167.3548,<LOD,1.9568,<LOD,1.9755,34.8451,1.6051,<LOD,0,23978.4785,78.5122,<LOD,9.1545,10.4411,1.144,89699.1719,232.0329,5.5905,3.5518,912.2401,2.7529,<LOD,0,4.469,1.1624,1180.1125,26.476,21.1589,2.2543,243.1157,10.1435,<LOD,0,18.8875,0.9246,181.2173,6.5279,43.2272,1.8756
