Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Pass/Fail,Pass/Fail Criteria,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma,Hadj,TOC_MA
63,Mining,211.42,28.92,29.96,29.91,116.16,"Tue Sep 7, 2021 - 13:35:50",User,2,ppm,,,,EA2001-6.2a,Mining,,6.2,0,3.4018,8165.6177,307.8194,3.5689,1.3647,0,6.1553,1005.6447,39.5223,543816.375,1961.5099,0,2.1897,213440.9219,380.4636,0,3.9175,12068.875,54.2755,0,33.377,58.2715,6.7433,24.1736,5.1146,4746.0049,74.0756,0,0,0,3.2606,4011.0906,90.1543,2951.0171,1359.1431,0,49.5961,0,1.9028,0,1.5617,47.2126,7.4079,93152.125,534.1832,0,2.1736,0,2.5182,9.808,1.8985,0,0,10648.9238,77.6037,0,7.4593,2.3281,1.077,102882.2578,266.5426,28.9564,4.3236,2140.3257,4.7382,0,0,3.0177,1.3169,486.3224,31.2393,39.6395,3.474,129.1785,9.4094,0,0,17.8729,1.0261,89.5554,6.084,30.883,2.8819,179.2,0.08
64,Mining,210.27,28.92,29.88,29.48,114.92,"Tue Sep 7, 2021 - 13:40:35",User,2,ppm,,,,EA2001-6.2b,Mining,,6.2,2.6803,1.7695,7999.2197,309.9644,0,3.4953,0,6.12,986.2461,39.6427,539872.6875,1981.4004,0,2.3693,217531.1406,389.1408,0,3.9,11806.0752,54.0714,0,33.1781,48.6344,6.7366,24.8764,5.1076,4573.4375,72.5116,0,0,0,3.2082,3768.5979,89.8518,3314.9812,1387.629,32.2098,23.9015,0,1.8889,0,1.534,45.0369,7.3682,95710.5938,541.8327,4.7318,1.5643,0,2.3289,11.1854,1.8879,0,0,10388.457,78.054,0,7.5,3.0099,1.0904,101006.2656,265.949,19.7393,4.3057,2140.3545,4.7171,0,0,0,2.3704,416.5528,32.1014,36.9275,3.4295,124.1562,9.4899,0,0,16.2121,1.0125,86.9508,6.0144,29.0776,2.8604,179.2,0.08
87,Mining,210.77,29.36,29.41,29.87,115.03,"Tue Sep 7, 2021 - 16:06:55",User,2,ppm,,,,EA2001-7.2,Mining,,7.2,2.2777,1.2629,6113.0615,179.7831,1.285,0.9256,0,4.4259,43.323,24.4101,683800.0625,1060.2859,0,1.541,104819.5547,260.7881,3.5224,1.9584,8045.7114,38.7739,0,21.901,74.8805,4.8552,7.3099,3.7127,2757.304,47.8992,0,0,0,2.2774,2499.6387,61.4051,1126.4731,679.7592,0,24.7772,0,1.3397,0,1.0833,71.1179,6.4135,1680.6279,84.1919,0,1.4679,0,2.5106,12.1837,1.0911,0,0,10147.5596,50.6467,0,5.3641,0,1.418,177670.1406,284.2737,0,4.7003,557.3824,1.9905,0,0,1.2417,0.8766,330.1543,16.0386,10.6933,1.6946,151.6203,6.5624,0,0,5.0873,0.6779,62.3714,4.3877,5.4567,1.2956,180.2,0.093
39,Mining,210.01,29.31,29.82,29.74,114.15,"Wed Sep 8, 2021 - 17:44:08",User,2,ppm,,,,EA2001-7.5,Mining,,7.5,0,3.7028,18241.6504,341.664,0,3.3125,0,5.96,617.3054,34.6332,615110.5,1603.363,0,1.9227,169170.672,343.007,0,3.8581,14072.583,54.726,0,41.4222,150.6696,6.879,27.969,4.9447,8620.626,91.7642,0,0,0,3.0011,8842.5996,116.439,4984.2393,1105.34,0,45.8911,0,1.7526,0,1.3693,106.9249,8.4233,28879.8984,316.937,6.5159,1.4748,0,2.1305,32.5792,1.6622,0,0,19080.4766,77.563,0,8.01,4.6693,1.0846,109588.805,262.6209,11.7137,3.9063,1030.9774,3.117,0,0,3.516,1.1697,1112.1343,30.0266,14.1061,2.3815,115.9266,8.9838,0,0,14.3134,0.9434,128.9865,6.2497,29.7428,2.0229,180.5,0.095
74,Mining,211.34,29.6,29,29.76,115.78,"Tue Sep 7, 2021 - 14:33:57",User,2,ppm,,,,EA2001-8.7a,Mining,,8.7,0,3.3958,5669.3027,247.098,1.9017,1.2093,0,5.9715,311.5764,35.2804,620342.875,1511.8381,0,2.0326,288094.8125,425.284,0,3.9391,7809.375,41.3914,0,27.3236,73.9106,6.9703,7.8335,4.5699,3013.0396,59.4017,0,0,0,2.9981,3492.9861,87.0105,3668.0054,1127.9929,160.2375,27.8089,0,1.7141,0,1.3633,45.5052,7.1709,5044.3525,141.8563,0,1.9463,0,2.2604,10.6366,1.4118,0,0,10430.7959,55.3379,0,7.3489,1.4022,1.0191,50294.6914,188.1595,21.5555,4.232,1043.8666,3.2667,0,0,0,2.8427,278.9737,25.1178,8.1304,2.3956,111.0049,8.4875,0,0,1.605,0.8133,58.7295,5.3916,2.9274,1.9979,181.7,0.1
75,Mining,211.64,29.1,29.39,29.33,117.93,"Tue Sep 7, 2021 - 14:38:56",User,2,ppm,,,,EA2001-8.7b,Mining,,8.7,0,3.3675,5954.2153,249.0606,0,1.8833,0,5.6696,326.2529,35.5013,618023.5,1508.5074,0,2.112,287987.8438,421.5354,0,3.9422,8327.2197,42.2092,0,26.4733,83.8094,7.0194,16.8867,4.7205,3038.5298,58.5399,0,0,0,3.0105,3667.0449,87.5914,4297.2607,1134.8555,132.0701,26.5464,0,1.6872,0,1.3481,40.3063,6.8679,4299.4463,131.7369,4.6147,1.4321,0,2.2828,8.6096,1.3721,0,0,10474.1816,54.9508,0,7.4199,2.34,1.0141,51811.4375,189.31,18.0437,4.2296,1046.4338,3.2135,0,0,0,1.7274,252.1277,25.3717,9.7291,2.3779,110.3564,8.4171,0,0,3.2787,0.8159,59.8841,5.3188,4.5253,1.9714,181.7,0.1
94,Mining,211.16,29.42,29.01,29.62,117.39,"Tue Sep 7, 2021 - 16:40:27",User,2,ppm,,,,EA2001-9.1,Mining,,9.1,0,2.3954,14721.4209,273.2467,0,2.7731,0,5.4816,389.1617,31.8488,691174.9375,1244.0669,0,1.9304,183287.7969,348.8108,0,4.0016,7502.7622,38.8551,0,34.5797,128.5018,6.4402,38.4086,4.9662,6479.5659,77.6023,0,0,0,3.0413,8062.7715,110.2785,1960.9521,883.9803,0,31.5322,0,1.6387,0,1.2741,102.3905,7.903,3653.8542,116.8467,5.485,1.3822,0,2.0407,27.6526,1.4789,0,0,20433.8965,71.4211,0,6.5787,4.5166,1.0535,60185.1875,193.8558,5.965,3.6979,737.272,2.5337,0,0,2.8399,1.1265,731.423,24.2859,13.3772,2.0815,132.2162,8.2571,0,10.9381,11.3641,0.8658,185.6403,6.7405,20.5363,1.6831,182.1,0.11
82,Mining,210.83,29.21,29.92,29.08,116.7,"Tue Sep 7, 2021 - 15:43:25",User,2,ppm,,,,EA2001-9.9a,Mining,,9.9,0,2.8938,17842.9141,305.7915,1.6959,1.2788,0,5.3263,423.1323,32.1,654941.6875,1402.4475,0,1.8778,137013.7656,326.5327,0,3.5248,19439.8066,61.2476,0,41.5209,125.5154,6.4499,31.28,4.8442,9122.6562,91.6037,0,0,0,3.1908,8216.0371,114.822,2492.8711,938.7267,0,31.9522,2.0541,1.154,0,1.3161,89.2057,7.89,20174.125,260.1396,4.9035,1.3843,0,2.0417,33.7088,1.6304,0,0,15834.5938,67.794,0,6.596,3.8589,1.0295,111771.6094,256.3783,0,8.9936,910.0316,2.8469,0,0,3.7989,1.1405,1229.4501,27.6752,18.4414,2.2957,104.4795,8.5784,0,10.7522,9.8076,0.8776,129.6051,6.0829,28.9482,1.8744,182.9,0.115
83,Mining,210.51,29.35,29.62,29.79,114.25,"Tue Sep 7, 2021 - 15:48:07",User,2,ppm,,,,EA2001-9.9b,Mining,,9.9,0,2.2168,17563.248,306.7972,2.2545,1.2549,0,5.306,426.4565,31.4759,654609.625,1393.7013,0,1.898,138539.375,315.6119,0,4.0723,19673.4336,61.9729,0,40.4171,128.1012,6.192,28.0107,4.665,9190.9961,89.6891,0,0,0,2.7448,8128.7456,109.7936,2404.2209,951.5173,0,35.8912,1.7295,1.1277,0,1.2894,95.0162,7.7665,21960.6328,273.0657,4.3949,1.3381,0,1.9627,31.8311,1.5848,0,0,15479.0391,68.0524,0,6.4715,5.1361,1.0141,109312.0547,255.555,9.2211,3.6451,921.5327,2.7962,0,0,2.5223,1.1117,1193.8916,26.1169,20.3423,2.2666,102.4786,8.1327,0,0,10.6629,0.8603,126.7847,5.8756,28.2198,1.8339,182.9,0.115
98,Mining,211.37,28.98,29.41,29.62,117.32,"Tue Sep 7, 2021 - 17:00:43",User,2,ppm,,,,EA2001-10.3,Mining,,10.3,0,4.1351,6991.7915,267.6385,2.5156,1.2471,0,6.0636,395.656,36.9791,618209.4375,1563.98,0,2.232,286799.1875,421.38,0,4.0593,9047.4541,44.5051,0,29.1374,72.8328,7.08,9.4378,4.6661,3509.408,63.8672,0,0,0,3.0254,4385.3828,93.6865,2316.6567,1155.6062,119.3392,26.7319,0,1.7578,0,1.4234,53.3972,7.4319,16600.4941,244.5901,0,1.9883,0,2.3409,12.1405,1.5493,0,0,10244.3467,57.7148,0,7.642,1.8727,1.0456,39312.957,169.9852,25.4825,4.4015,1329.8157,3.6997,0,0,0,2.4646,263.1174,27.113,12.9297,2.6698,183.8707,9.9784,0,0,6.284,0.882,77.8043,5.7791,16.1793,2.2839,183.3,0.105
61,Mining,210.44,29.64,29.84,29.9,114.56,"Tue Sep 7, 2021 - 13:26:51",User,2,ppm,,,,EA2001-10.3a,Mining,,10.3,0,3.2814,7038.4966,311.2509,1.5137,1.488,0,6.5779,641.1388,39.3287,551723.625,2033.9401,0,2.4434,244623.0469,393.9362,0,4.1756,6408.0137,42.6354,0,31.0183,42.4378,6.6423,21.1786,5.1359,3687.7937,66.8073,0,0,0,3.4225,4015.6667,91.1273,2855.5254,1449.2614,0,58.1547,20.7312,1.5384,0,1.6935,45.4527,7.5272,106569.7656,566.9866,6.0502,1.6474,0,2.3709,10.1672,2.0862,0,0,4464.3833,69.2509,0,7.7711,3.7054,1.1575,64795.3945,222.7392,22.1862,4.4999,2157.8584,4.8104,0,0,0,2.0533,490.9149,29.402,64.0623,3.7796,127.0183,9.3284,0,0,38.6694,1.2194,78.0224,6.0085,47.0837,2.9852,183.3,0.105
62,Mining,211,29.87,29.43,28.84,115.03,"Tue Sep 7, 2021 - 13:31:28",User,2,ppm,,,,EA2001-10.3b,Mining,,10.3,0,3.5111,7094.2598,313.1403,2.2,1.4848,0,6.5808,658.7257,40.3718,549057.6875,2044.1453,0,2.3879,245540.2969,400.0674,0,4.2576,7120.9004,44.3714,0,31.0925,45.1461,6.8503,22.3179,5.1734,3837.0383,67.9066,0,0,0,3.3908,4039.7649,92.8848,2805.8362,1455.855,0,54.0779,20.2079,1.5363,0,1.6934,53.1299,7.6821,107101.1328,567.6397,5.0976,1.6193,0,3.0779,8.6162,2.0719,0,0,4583.8174,69.4358,0,7.9815,2.8651,1.1343,64898.7305,222.6772,20.1269,4.5973,2154.0789,4.7984,0,0,0,3.3574,550.889,30.7809,64.9258,3.78,135.2484,9.7778,0,0,40.3986,1.2277,86.5233,6.1491,49.9202,2.9892,183.3,0.105
65,Mining,210.56,29.43,29.98,29.53,114.06,"Tue Sep 7, 2021 - 13:45:06",User,2,ppm,,,,EA2001-13.0,Mining,,13,0,2.6658,17144.1621,246.0217,5.1021,1.2878,0,5.0833,164.7532,26.379,752501.8125,1066.6544,0,1.7044,96252.7969,267.2356,17.6861,2.1811,17367.707,53.6746,0,38.2635,136.851,5.8745,52.682,4.9751,9117.8408,85.2617,0,0,0,2.4699,7602.5776,100.953,3272.8474,769.8109,0,29.5762,20.5066,1.1698,0,1.2136,136.9365,8.1328,3689.4224,112.5692,4.8454,1.2956,0,1.9495,42.6181,1.55,0,0,23541.6055,72.907,0,5.6859,8.7618,1.0515,66634.6875,193.3551,0,4.7406,615.9184,2.1778,0,0,3.8345,1.0376,1105.9241,23.4266,18.9552,1.9504,329.8616,9.8657,0,0,9.2736,0.8196,168.8319,6.0846,31.0526,1.5326,186,0.108
95,Mining,211.14,29.93,29.18,28.98,117.11,"Tue Sep 7, 2021 - 16:44:57",User,2,ppm,,,,EA2001-13.5,Mining,,13.5,1.7251,1.4337,10146.5547,233.2883,2.8278,1.2329,0,5.1686,362.7083,29.7716,692798.0625,1260.8231,0,1.7988,133613.3438,307.3271,10.4773,2.3016,36742.2266,80.252,0,31.7922,119.6586,6.1329,29.4381,4.6335,5790.8398,71.3202,0,0,0,2.66,6040.8145,94.6176,4805.2485,938.4849,20.9899,20.87,0,1.5695,0,1.207,150.3147,8.4531,8843.5518,172.6905,4.1106,1.2963,0,1.9125,31.0316,1.4937,0,0,12782.0205,57.9666,0,6.1643,6.0619,1.0113,85706.1172,221.2375,0,7.4084,780.2482,2.5117,0,0,3.6057,1.0773,662.6229,22.3025,17.6726,2.0866,351.0225,10.2732,0,0,6.7284,0.8002,148.3078,5.9899,21.5995,1.6563,186.5,0.102
59,Mining,211.25,29.5,28.97,29.56,115.56,"Tue Sep 7, 2021 - 13:12:11",User,2,ppm,,,,EA2001-19.4a,Mining,,19.4,2.1184,1.4671,28486.5254,352.8163,5.3234,1.4661,0,5.9573,870.9126,33.1312,652377.6875,1376.621,0,1.8627,120613.5,305.7742,14.6646,2.3783,14092.6328,51.7411,0,45.1983,303.9616,7.8097,119.2906,6.5052,12343.2754,99.5164,0,0,0,3.2982,11456.9805,127.9495,5117.7998,934.9817,55.6149,22.7167,15.7184,1.1801,0,1.2705,377.3728,11.9445,4321.6597,126.9642,9.6899,1.5536,0,1.9535,53.6701,1.72,0,0,31077.7969,87.8238,0,8.2047,19.4613,1.393,115171.7578,253.4059,6.5381,3.5421,658.4941,2.3181,0,0,4.6221,1.1326,1625.1344,30.8073,20.8381,2.0715,287.8221,11.0105,0,13.6207,9.1343,0.866,444.1252,9.1065,35.868,1.6344,192.4,0.14
