,corrected Ag,corrected Ag 2-Sigma,corrected Al,corrected Al 2-Sigma,corrected As,corrected As 2-Sigma,corrected Au,corrected Au 2-Sigma,corrected Ba,corrected Ba 2-Sigma,corrected Bi,corrected Bi 2-Sigma,corrected Ca,corrected Ca 2-Sigma,corrected Cd,corrected Cd 2-Sigma,corrected Cl,corrected Cl 2-Sigma,corrected Co,corrected Co 2-Sigma,corrected Cr,corrected Cr 2-Sigma,corrected Cu,corrected Cu 2-Sigma,corrected Fe,corrected Fe 2-Sigma,corrected Hf,corrected Hf 2-Sigma,corrected Hg,corrected Hg 2-Sigma,corrected K,corrected K 2-Sigma,corrected Mg,corrected Mg 2-Sigma,corrected Mn,corrected Mn 2-Sigma,corrected Mo,corrected Mo 2-Sigma,corrected Nb,corrected Nb 2-Sigma,corrected Ni,corrected Ni 2-Sigma,corrected P,corrected P 2-Sigma,corrected Pb,corrected Pb 2-Sigma,corrected Rb,corrected Rb 2-Sigma,corrected S,corrected S 2-Sigma,corrected Sb,corrected Sb 2-Sigma,corrected Si,corrected Si 2-Sigma,corrected Sn,corrected Sn 2-Sigma,corrected Sr,corrected Sr 2-Sigma,corrected Ta,corrected Ta 2-Sigma,corrected Th,corrected Th 2-Sigma,corrected Ti,corrected Ti 2-Sigma,corrected U,corrected U 2-Sigma,corrected V,corrected V 2-Sigma,corrected W,corrected W 2-Sigma,corrected Y,corrected Y 2-Sigma,corrected Zn,corrected Zn 2-Sigma,corrected Zr,corrected Zr 2-Sigma
27,4.3187,3.8131995595707675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2.0138,3.963599559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3.5583,3.750499559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3.7825,3.598899559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.6185,3.789799559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.3107,3.789599559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,6.0669995595707675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0,6.349399559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3.6572,3.967699559570768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,14698.7607,6785.751928271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,13792.6719,6761.686828271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,7428.1079,6739.155528271494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,13180.0732,6737.255028271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,14050.1416,6728.172728271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,14450.1826,6731.554928271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,13113.0186,6756.549128271495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
