,Ag,Al,As,Au,Ba,Bal,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Hf,Hg,K,Mg,Mn,Mo,Nb,Ni,P,Pb,Pd,Rb,Re,S,Sb,Se,Si,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr
coeff_of_determination,0.333359413485516,0.42877557932129096,0.35722238660225225,0.12339563750252536,0.9732846145979047,1.0,0.12466383025150163,0.9765890378526871,0.0,0.9983977195775132,0.0,0.6514594519468601,0.9951661882371291,0.9952604879149836,0.0,0.030963124271668918,0.9768484557209874,0.9455670306986351,0.7935546833263338,0.8719624430871098,0.9872425530171456,0.9271364877096825,0.2830219553045181,0.9998271958605157,1.0,0.9331639765148909,1.0,0.8264903079705916,0.11093627828696462,1.0,0.9278163739362595,0.48211528789324753,0.47199891350042855,0.0,0.4578225558852569,0.9701811103930748,0.11331019932830777,0.9666042503720759,0.6103939711981309,0.8039596804269137,0.9992352600512598,0.9961230636603372
slope,-0.0038148791308064956,1.3294504080571998,-0.42471615224983195,0.00023285531420005778,1.08803664830501,-0.0,0.12078800983042301,1.3264957066157976,0.0,0.9331003995557664,0.0,1.830971940570688,1.0283800116695903,1.143619287235791,0.0,-0.158466625740655,0.8841654969190867,1.1270508062730178,0.75560129004233,0.890289328941197,1.0858624760867974,0.9253235189936552,1.1649311694460642,0.9820592638907469,0.0,0.7113345444253645,0.0,1.613222547791932,-0.09613009188319174,0.0,0.8633707619848515,-0.1981429284040229,0.9622103355891404,0.0,0.629815065920485,1.0806773670230079,0.0856187577032327,1.2015915852929677,0.07114046082869747,0.7655278716050655,1.060891111235128,1.018315176696445
intercept,0.043710497900105456,-36505.09855393067,14.88496479322826,0.0008435686303463074,118.6524760724725,0.0,0.4882172198525047,665.9706086842543,1.7663101604278082,15.705342365998149,12.576470588235296,-112.81337692264194,0.7432792387206462,2133.491199178108,8.868983957219251,0.5213066861614193,2901.6106848604104,-4597.297154910899,233.4413310932016,1.4906107721039232,-2.213870328378704,-2.772487947617165,-190.8367983876542,-3.93257954818705,0.0,34.76342207175783,0.0,-1412.866741381735,9.246378838988083,0.0,59978.35841325513,4.28189976951926,23.14966744009331,2.036417112299465,6.6367627350107,452.04381698821,2.490733662086457,-24.70980520477336,1.200703544329198,13.15945184798992,1.6136558387817672,10.550213999043649
2sig_mag1,0.0,6761.6547240286745,1.3802254110123033,5.615390249688129,26.175600049399485,18464.929222079867,0.0,528.139702903709,0.0,2337.3512377627258,0.0,8.520792976577583,4.523436830891002,437.81596304577243,0.0,1.6760641167131207,1000.2576119478591,3115.851529553073,30.388384109145495,0.48447566340877657,1.0943851129479867,11.16569475469395,117.80425817964733,2.5284020180200564,0.0,3.534752471897436,0.0,217.18830113432003,0.0,0.0,8465.444894892717,7.448501998655809,2.99305879760461,0.0,2.502059838005315,136.71098356787365,2.2415631386128196,15.918388440888107,0.0,1.6644013307991516,7.079662650868475,3.160360785833264
2sig_sdarm2,4.63038307117967,4418.518606912639,6.019832499962255,1.4511789183546333,22.17724395683853,18207.22016905146,3.3768766403152015,472.6852874104284,0.0,0.0,0.0,20.264982089213373,10.819518180451439,343.9541727520936,0.0,0.0,1738.0703171199066,2045.1016872454952,36.487799359776076,1.0031306285943684,1.812733948394563,7.637583451665939,169.7813044428567,14.775714193647408,0.0,4.101473278165826,0.0,106.58336981167818,5.009874928113413,0.0,13537.250583514768,4.9256787270544615,2.19421519477131,0.0,2.5852546984255773,115.7913279397635,2.392896887862635,7.40327685479634,20.994749093788098,3.171847380700324,19.87924097056353,24.992154397060602
2sig_sdarl2,2.573764004951733,4640.02487779406,3.3451304483650746,1.7907307717715963,23.067942946835654,17003.169451329843,0.8002382524853087,545.2400484079466,0.0,140.36335209369855,0.0,7.920365593626365,5.022081202030142,474.6680276404919,0.0,1.5045092094858075,1421.5085256161892,1731.660466334151,35.19496545175529,1.8192671880073772,2.5294560348826067,8.952376541662202,155.76199240445146,5.647466785565067,0.0,3.2521063174275002,0.0,143.95710470112192,4.368032595085645,0.0,12035.339795788055,5.664456595879196,3.1435636811257592,0.0,2.09903884650524,210.37701090653616,2.326695722790408,11.872414690144584,13.954953929078146,3.0269532212412025,8.742504362516476,31.37079069124212
2sig_Avg,2.556800231353633,5084.397928506315,2.977292589227367,2.952433313271453,26.758020454561652,17559.71109885077,2.088557446400255,529.8757874079072,0.0,1238.8572949282122,0.0,11.692004433785128,6.0252498710306215,510.1394675040043,0.0,1.3736637466893438,1241.8492656360736,2261.5770667929696,33.96337477182932,1.0401972120455834,1.5081207842866586,9.191045075913328,151.58096074314716,5.819233674377777,0.0,3.1500041230374207,0.0,141.76797036090807,4.688953761599529,0.0,11367.198088120631,6.867023119209103,2.743730795786697,0.0,2.253980270805973,164.92237110340818,2.256186291056371,13.12771793088815,17.474851511433123,2.235830712480791,9.451345648945447,14.820292069840736
