,Ag,Al,As,Au,Ba,Bi,Ca,Cd,Cl,Co,Cr,Cu,Fe,Fe,Hf,Hg,K,Mg,Mn,Mo,Nb,Ni,P,Pb,Rb,S,Sb,Si,Sn,Sr,Ta,Th,Ti,U,V,W,Y,Zn,Zr
coeff_of_determination,0.47418136656988563,0.3509792796852872,0.17941585699344675,0.0033997043288152007,0.9793930545294474,0.0,0.930074597364579,0.0,0.9942444594165483,0.00454240343414869,0.43937162665779295,0.9952679725017337,0.9888271477984252,0.9888271477984252,0.0,0.0,0.9807469280685894,0.9459473231444571,0.8455335546811495,0.0,0.9856009945910185,0.8909446003045978,0.3698009134403929,0.999734448963272,0.9357407953217778,0.871436244583526,0.0187434941505078,0.9449128890725252,0.20633074460853285,0.6946113580677147,0.0,0.5836900616557522,0.9698005310711594,0.00012710608141264235,0.9422918137050397,0.0,0.7194567357273849,0.9992950315171895,0.9879400316093319
slope,-0.00482136296167662,0.8855324325811582,-0.36695883394132495,0.0001836671907013902,0.9884895078103475,0.0,1.260145816399056,0.0,0.9216974129225525,0.03612312609414041,1.6760252536014395,1.0077728004283482,1.0893079820687277,1.0893079820687277,0.0,0.0,0.9343075150095369,1.136911647222221,0.8433382881767111,0.0,1.0191609017107315,0.8584228665085032,0.741366897795435,1.065076423636565,0.5831252578175151,1.2091992402156466,-0.03495932011134484,0.8511625520405411,-0.1516407685129019,1.1013081082803706,0.0,0.7393881898636494,1.0387643754593003,-0.013293817920179531,1.057089865414983,0.0,0.661272990304085,1.0470083088526647,1.0231388572549314
intercept,0.05419924226868573,6773.149590338871,14.833463193691145,0.0013858098591549295,51.87257761025978,0.4563578947368421,263.53420033719703,1.1803508771929825,29.89973623262449,13.64973232604079,-83.16796222740123,11.85136669915773,2684.2629122575163,2684.2629122575163,7.6354385964912295,0.323859649122807,951.2675799418103,-1497.9855642460898,212.55169377277258,4.497894736842105,6.275114638594236,12.911298067414613,91.64716948532566,-2.6364931140179237,49.65014765801904,-1023.1769616884967,5.842531595688275,53681.756331540324,4.5829073588863665,0.6331669143027341,1.7033684210526316,4.73315017679365,405.9483657417445,2.8927771184184357,-12.824664643467614,1.3752631578947367,18.784771961732268,8.228333831346532,3.16247230951808
2sig_mag1,1.2074520550677597,10051.67929727936,1.41445340849626,1.3049589446694203,50.578440812188944,0.0,1271.4303122273002,0.0,4241.673802826361,28.509403238277294,9.11902430275906,5.192218942698632,1529.2878037311787,1529.2878037311787,0.0,0.0,1061.7201625701425,3494.178816350844,34.516553071097135,0.0,1.1732848511857397,11.222092213980442,289.07260285528446,2.1744614091709873,8.131871065404484,627.2215118702804,0.0,16229.372927184017,7.0339348881416655,6.000992334776646,0.0,2.1117009275446406,130.1726868653406,0.0,15.329436376635767,0.0,1.9656749692095086,6.959787200310065,5.425068289758417
2sig_sco1,0.0,4022.6148067843515,1.6121312026001988,0.0,26.48158224146228,0.0,1067.4074254420407,0.0,0.0,33.069397868132576,22.827322662479503,4.749029348342505,633.111257871877,633.111257871877,0.0,0.0,1699.3709201709662,1933.425728413449,30.22272034803124,0.0,1.057049137092004,10.17762218494593,195.65519846524944,2.4044043503500547,2.681043375797528,193.54675074317515,0.0,7568.194835910668,7.521143998839312,2.785396091595316,0.0,1.6933865972873237,174.12787187983847,0.0,38.60231566486722,0.0,1.5507058927748116,5.62404203140978,5.340522897498493
2sig_sdc1,0.9361537666677168,6247.6164554554425,0.0,0.0,26.82270043396366,0.0,577.5965274775818,0.0,0.0,0.0,10.051950857562234,6.033595686130478,448.4562993228791,448.4562993228791,0.0,0.0,686.7048098599554,1775.3951253082043,36.91267247459632,0.0,1.2414580194787923,11.800946543831092,153.9136739266058,2.3395751058247463,2.8550520709742537,124.988234521933,0.0,10168.17587445891,5.4190783178862265,3.184450315046544,0.0,1.6802435451064213,290.02659960548084,1.0950430666978705,12.068086795583781,0.0,1.857093688701619,6.120787802453754,33.42162703198335
2sig_sdarm2,3.545127774301723,7623.951021430122,5.527409315920568,0.0,34.38268415328558,0.0,2864.333071662871,0.0,998.4535879686089,0.0,19.203055316998434,10.357718420398712,338.41238222137764,338.41238222137764,0.0,0.0,1623.4158694134167,1496.2944406572403,34.076150995016114,0.0,1.7649131265894769,8.84399421431334,367.93896224968245,19.213710451952853,4.399849576940321,595.9575267059844,4.448557950828825,17095.347317412772,5.239372063294549,3.4503728046872686,0.0,2.5242092274673613,93.43009703440457,0.5696899493859554,7.486534744084497,0.0,3.549037654885628,19.226810974611958,25.8360314211394
2sig_sdarl2,4.109264642245873,4464.222560408196,3.870307482633265,0.0,28.86420386891087,0.0,1259.8515140630252,0.0,319.32064231367764,0.0,7.724686110147293,6.528582647854965,573.069101475162,573.069101475162,0.0,0.0,1321.4284916355932,1377.1015613676188,34.40586092719981,0.0,2.6203608552333866,13.259094000928448,224.65172050209162,4.853498152709495,3.7475661540842387,490.4496318298013,4.6291691497620056,12114.048447087382,5.027439185258844,3.6074990360698647,0.0,2.850933076648014,141.6545324925321,0.0,10.493839663813459,0.0,6.469049134113646,7.82035963906207,32.95189025693142
2sig_Avg,2.449499559570768,6482.016828271495,3.106075352412573,1.3049589446694203,33.42592230196227,0.0,1408.1237701745636,0.0,1853.1493443695492,30.789400553204935,13.785207849989302,6.572229009085059,704.4673689244948,704.4673689244948,0.0,0.0,1278.5280507300147,2015.2791344194713,34.02679156318813,0.0,1.57141319791588,11.060749831599852,246.24643159978277,6.197129894001628,4.3630764486401645,406.43273113423487,4.5388635502954155,12635.027880410747,6.04819369068412,3.8057421164351277,0.0,2.1720946748107517,165.88235757551928,0.8323665080419129,16.796042648996945,0.0,3.0783122679370427,9.150357529569526,20.595027979462216
