Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
479,ucsb mining,210.46,0,29.02,29.56,28.96,"Sun Jan 15, 2023 - 17:29:02",User,2,ppm,,,,SdAR_M2,Mining,10.4043,1.5304,80287.4531,552.9219,31.1824,6.6585,0,6.3279,761.0042,35.1047,525058.5,3226.9763,0,3.2514,4370.3799,96.6425,0,3.2446,0,25.1595,0,49.7037,92.2369,5.6304,227.6403,7.7422,14482.9463,107.7854,0,0,0,3.9376,43001.6719,225.0266,5877.853,847.0552,884.0649,43.0623,11.8074,1.1581,24.2849,0.9895,55.7915,6.7165,526.8556,64.4965,830.8835,7.3483,0,1.7951,156.9435,2.16,0,0,1727.5588,27.8247,78.4854,4.5026,0,1.6876,318817.5625,382.4905,12.1297,3.4549,136.5133,1.2107,0,0,8.8259,2.1108,1472.9597,32.1891,3.6673,1.8124,39.854,7.9258,24.9939,9.1562,34.4218,1.4424,717.8193,11.2974,233.2877,2.1233
482,ucsb mining,210.66,0,29.39,29,29.05,"Sun Jan 15, 2023 - 17:40:44",User,2,ppm,,,,SdAR_M2,Mining,9.4321,1.5533,82060.7031,565.9242,28.0301,6.2559,0,6.1173,774.1168,36.0314,516903.375,3139.9851,0,4.1736,4448.1079,97.4813,0,3.2993,0,25.7017,0,46.6202,89.4417,5.6084,223.1395,7.241,14397.8564,101.3827,0,0,0,4.8569,42792.4062,224.9763,7403.7349,880.2166,828.5812,39.6136,11.2383,1.0923,24.9785,0.934,58.4503,6.353,633.8628,69.0264,829.321,6.9214,0,1.8273,153.7139,2.0173,0,0,1699.4113,27.9015,74.2806,4.5857,0,1.5823,323950.6562,384.3485,16.7934,3.5602,136.4797,1.1413,0,0,7.1639,2.0004,1399.6564,31.7351,3.2892,1.6988,37.6512,7.8003,0,21.0716,32.4944,1.3453,729.06,10.7234,242.5878,2.0339
485,ucsb mining,211.64,0,29.76,29.1,28.79,"Sun Jan 15, 2023 - 17:54:38",User,2,ppm,,,,SdAR_M2,Mining,8.8291,1.5116,84883.6016,569.9937,36.3253,6.4421,0,6.3609,767.4543,35.2142,511017.3125,3234.3259,0,4.5996,4182.3433,97.3802,0,3.2438,0,27.7988,0,48.1341,89.091,5.6609,232.4207,7.5386,14395.9307,103.9148,0,0,0,3.7464,42874.8594,226.2851,6998.9453,867.8476,843.6586,40.9307,12.3976,1.1165,24.6557,0.9553,49.2318,6.3858,643.4766,67.1044,824.9445,7.078,0,1.784,154.6451,2.0774,0,0,1759.9702,28.2139,76.7876,4.502,0,1.6591,327569.7188,384.5183,10.5009,3.452,135.1846,1.1644,0,0,8.5969,2.0664,1336.6869,32.2274,4.5532,1.7655,40.5334,7.8849,36.5299,9.0632,31.538,1.3729,724.3414,10.9645,224.9483,2.0213
515,ucsb mining,210.53,0,28.53,29.77,28.79,"Sun Jan 15, 2023 - 19:57:40",User,2,ppm,,,,SdAR_M2,Mining,9.6371,1.5327,83532.4062,567.5477,29.6658,6.6165,0,6.1618,759.8299,35.3975,516449.5,3305.9316,3.3708,2.2627,4192.3198,97.1155,0,3.2527,0,26.7311,0,49.1436,99.5971,5.6939,227.5007,7.6849,14235.377,106.3586,0,0,0,3.8312,41707.5117,221.8791,8557.8242,893.4273,860.7972,42.3821,11.9357,1.1453,24.2076,0.9763,48.9448,6.5317,698.4763,67.3195,833.0715,7.3094,0,1.8393,153.775,2.1285,0,0,1704.5815,27.9905,75.9369,4.5261,0,1.679,323257.3438,383.7402,13.8554,3.4909,136.8065,1.2037,0,0,6.4437,2.2436,1321.9167,32.3709,4.1778,1.8039,34.5171,7.7931,37.1392,9.2926,29.7817,1.4024,715.1805,11.2072,226.5541,2.086
735,ucsb mining,210.78,0,29.52,29.14,28.91,"Wed Feb 1, 2023 - 08:45:47",User,2,ppm,,,,SdAR_M2,Mining,9.3879,1.5622,76703.5625,551.3818,33.453,6.494,0,6.2985,776.7693,36.2769,537084.5625,3119.2839,0,3.8193,4384.7002,98.6325,0,3.3236,0,26.2605,0,69.3999,91.5196,5.6611,238.1837,7.6718,14557.3271,105.0922,0,0,0,4.9693,42559.1172,225.0368,8120.8237,894.633,873.3585,41.6455,11.7604,1.125,24.3329,0.9607,53.0748,6.5905,585.0279,64.8094,831.2258,7.1529,0,1.8859,156.986,2.101,0,0,1669.8475,27.7362,76.1741,4.6244,0,1.6759,308571.2188,382.2333,10.0142,3.55,135.043,1.1723,0,0,9.1985,2.0829,1386.6526,32.2424,3.1038,1.7526,35.5658,7.8472,23.9219,8.9057,31.8608,1.3896,722.0324,11.0259,230.185,2.0552
740,ucsb mining,211.08,0,29.63,29.7,29.15,"Wed Feb 1, 2023 - 09:05:59",User,2,ppm,,,,SdAR_M2,Mining,10.1812,1.5512,78956.4219,561.9836,34.1371,6.6552,0,6.3699,785.201,35.8127,531445.375,3231.4629,0,4.0265,4230.7139,98.3791,0,3.3214,0,27.2858,0,49.6809,90.3341,5.6596,227.6802,7.7247,14539.1104,107.5929,0,0,0,3.8051,41857.2695,223.7405,8158.9775,899.257,871.8714,42.7297,12.2344,1.1602,24.5578,0.989,54.6539,6.686,630.572,65.8513,829.8534,7.3269,0,1.8214,156.4352,2.1589,0,0,1719.5292,28.2511,74.8698,4.5528,0,1.7342,312717.375,384.4531,11.6362,3.5065,136.4475,1.2071,0,0,9.2555,2.136,1347.3175,32.1811,5.6651,1.8558,42.8827,7.9009,28.1525,9.2283,30.9612,1.4184,729.0247,11.3481,231.3585,2.1116
745,ucsb mining,211.32,0,29.98,29.68,29.49,"Wed Feb 1, 2023 - 09:25:51",User,2,ppm,,,,SdAR_M2,Mining,9.6331,1.5603,79545.0234,561.9503,29.7101,6.5403,0,6.1538,775.551,36.1478,532559.875,3190.7852,0,5.3654,4127.415,97.9746,0,3.3392,0,27.0237,0,48.6604,93.2044,5.6789,233.3266,7.7059,14422.0293,105.9698,0,0,0,3.8395,41068.9492,222.0907,8478.2324,901.0632,862.1572,41.9411,12.1113,1.1416,24.1008,0.9739,55.9958,6.5839,677.5652,66.7824,827.4071,7.2261,0,1.8682,154.7609,2.1221,0,0,1692.8716,28.1536,74.934,4.6018,0,1.653,311713.9688,383.4166,13.712,3.5514,137.6295,1.1971,0,0,9.4614,2.1252,1351.7888,32.575,5.5843,1.8325,37.4285,7.8931,35.2205,9.2045,31.783,1.4027,711.5939,11.0906,226.961,2.0705
668,ucsb mining,210.64,0,28.8,28.86,29.42,"Sat Jan 28, 2023 - 15:49:28",User,2,ppm,,,,SdAR_M2,Mining,9.0418,1.5119,80184.7188,552.8842,31.6844,6.8483,0,6.6519,779.7723,35.2527,530588.5625,3301.8782,0,3.3248,4189.1367,99.9197,0,3.2716,0,25.9274,0,51.3274,93.6622,5.7915,233.2648,8.0476,14510.2129,111.0623,0,0,0,3.9131,41958.9102,228.7291,7982.5723,878.4124,831.5419,43.3225,11.8742,1.1892,24.0045,1.0145,53.9197,6.8884,609.3064,64.5838,827.4002,7.5543,0,1.8143,153.0693,2.2012,0,0,1664.2435,27.3638,82.1191,4.5231,0,1.7764,312598.5625,381.9724,18.0658,3.4769,135.2819,1.2414,0,0,11.4586,2.1881,1377.5729,33.1888,4.0566,1.8706,37.6938,8.0678,18.8048,9.3036,31.8084,1.4639,720.2485,11.6511,227.4481,2.1647
673,ucsb mining,210.27,0,29.75,29.48,29,"Sat Jan 28, 2023 - 16:10:31",User,2,ppm,,,,SdAR_M2,Mining,10.4394,1.5645,80648.625,564.6459,37.1091,6.6907,0,6.3905,777.1375,35.9957,525733.9375,3258.604,0,5.3317,4082.9102,98.3473,0,3.2913,0,26.3428,0,49.8695,96.9126,5.7326,242.7162,7.9146,14596.6338,107.734,0,0,0,3.8279,41620.1836,224.8274,8236.3682,896.2932,887.2119,42.9983,11.7854,1.1537,24.0253,0.9841,50.8476,6.6194,658.6102,66.1819,836.0228,7.3494,0,1.8688,154.4999,2.1455,0,0,1639.2968,27.7979,80.257,4.6092,0,1.7271,317011.3125,385.5035,14.9549,3.543,137.4594,1.2107,0,0,9.1485,2.1553,1344.2506,32.0819,5.4452,1.8497,42.4566,7.8988,27.7694,9.1798,31.5826,1.4202,721.2782,11.2883,228.8212,2.102
679,ucsb mining,210.77,0,28.94,29.27,29.37,"Sat Jan 28, 2023 - 16:34:29",User,2,ppm,,,,SdAR_M2,Mining,10.3952,1.5368,81291.3672,573.3256,32.6499,6.5828,0,6.3796,780.0256,35.3783,523650.7812,3291.2659,5.7612,2.3089,4096.8179,99.2934,0,3.2656,0,27.8467,0,48.8161,89.5217,5.7041,233.4359,7.7411,14316.7109,106.0932,0,0,0,3.7703,40966.1211,223.903,9423.6406,922.8287,851.5052,42.0458,10.9508,1.1515,25.5315,0.9884,53.8745,6.5809,805.8856,68.7308,826.1919,7.2527,0,1.8194,152.2831,2.1173,0,0,1636.8756,28.1557,75.0353,4.5011,0,1.7098,318119.6875,386.9153,12.8517,3.4705,136.3322,1.1971,0,0,8.2268,2.2805,1299.7565,32.6532,5.6285,1.8326,39.8001,7.9312,37.1699,9.3211,32.205,1.4088,726.5084,11.245,246.4991,2.1524
684,ucsb mining,210.78,0,29.54,29.81,28.95,"Sat Jan 28, 2023 - 16:54:40",User,2,ppm,,,,SdAR_M2,Mining,10.7016,1.5575,82634.3359,572.3919,29.3241,6.5639,0,6.1673,765.8176,35.6678,521698.1562,3276.6694,4.5656,2.274,3991.6309,102.2101,0,3.2998,0,27.3147,0,49.0762,93.487,5.9375,235.0978,7.7421,14552.4346,106.488,0,0,0,3.8195,41478.6992,232.1241,9801.9424,922.0667,870.3683,42.2087,11.1402,1.1351,23.4897,0.97,64.6488,6.8254,803.2878,68.5871,832.6216,7.2549,0,1.8424,152.3225,2.1138,0,0,1682.3402,28.2072,75.6838,4.5548,0,1.6907,317628.75,386.8809,7.0428,3.4827,135.3955,1.1891,0,0,6.7524,2.2464,1343.7329,34.149,6.7919,1.8526,44.7077,8.3355,43.5038,9.4033,30.9608,1.3975,716.1478,11.1337,224.1251,2.0617
584,ucsb mining,211.54,0,29.33,28.92,29.81,"Fri Jan 20, 2023 - 21:30:40",User,2,ppm,,,,SdAR_M2,Mining,10.4722,1.5758,79824.7812,554.4941,31.6961,6.3432,0,5.999,792.7278,36.3497,527119,3076.5576,0,3.0222,4570.8076,97.568,0,3.3207,0,27.2091,0,47.4745,93.2941,5.6802,224.4697,7.2985,14566.6572,102.465,0,0,0,4.5747,43370.7266,225.6635,7068.8955,870.5251,859.3784,40.4224,12.7355,1.1006,24.182,0.9361,50.3874,6.2984,521.3872,63.5565,838.3151,7.0006,0,1.8197,157.2883,2.0503,0,0,1732.0416,27.6624,74.3149,4.6089,0,1.5988,315422.9062,379.7038,14.5264,3.5681,137.5927,1.1527,0,0,10.7952,2.003,1406.0837,32.3759,3.5329,1.7194,39.3142,7.9175,26.7119,8.7417,32.5741,1.3602,734.3718,10.8246,228.0339,1.9972
589,ucsb mining,211.35,0,29.01,29.52,29.53,"Fri Jan 20, 2023 - 21:52:08",User,2,ppm,,,,SdAR_M2,Mining,9.1012,1.5092,82660.6641,565.1213,28.9454,6.5235,0,6.222,770.4768,35.0894,519317.5,3234.688,0,3.1917,4593.3262,96.8811,0,3.2799,0,25.7993,0,50.4757,90.3052,5.5558,233.5536,7.6536,14468.5312,105.5619,0,0,0,5.0399,43070.9883,222.7792,8073.4585,887.804,872.8318,41.9866,12.5715,1.1358,24.7731,0.9717,49.6373,6.491,580.6171,64.0276,834.6929,7.2146,0,1.8106,153.7461,2.1006,0,0,1705.46,27.6181,77.6296,4.4887,0,1.6565,319791.3438,382.1608,13.899,3.4507,135.007,1.1798,0,0,9.1631,2.0735,1386.5447,31.6063,4.7876,1.8001,36.5366,7.722,20.2505,8.8407,32.6426,1.3996,713.7115,11.0366,227.3109,2.0576
594,ucsb mining,210.25,0,29.91,29.09,29.67,"Fri Jan 20, 2023 - 22:13:12",User,2,ppm,,,,SdAR_M2,Mining,9.7234,1.5217,82139.7109,564.2,30.1347,6.366,0,6.2769,773.1141,35.2106,522521.2812,3136.7773,0,3.1574,4150.4585,97.0971,0,3.239,0,25.7696,0,47.4948,88.2096,5.6594,229.2486,7.4264,14599.3115,103.437,0,0,0,3.7058,42541,225.2524,7462.1899,878.5212,851.1506,40.566,11.2123,1.101,24.5345,0.9442,57.0157,6.4103,621.9011,66.3526,831.5939,7.0327,0,1.7856,154.2623,2.052,0,0,1699.0256,27.9293,79.5179,4.5094,0,1.6324,318565.1875,382.5947,13.4808,3.4608,137.1925,1.1606,0,0,9.3431,2.0383,1344.8987,32.6429,3.9416,1.7379,36.046,7.8936,30.3547,8.8822,30.8936,1.357,724.4025,10.8519,229.658,2.0193
629,ucsb mining,210.72,0,29.06,29.46,29.34,"Sat Jan 21, 2023 - 00:36:29",User,2,ppm,,,,SdAR_M2,Mining,10.3811,1.533,80743.3672,564.6491,31.4363,6.3615,0,5.9972,773.0383,35.2535,528594.5,3139.4377,0,4.7553,4315.9697,98.8711,0,3.2575,0,26.7145,0,47.6772,92.2631,5.7005,231.7459,7.4743,14575.7422,103.5081,0,0,0,3.7078,41210.9141,223.3061,8301.1885,895.8971,869.4033,40.978,12.487,1.1139,25.1167,0.9558,57.9043,6.4739,686.5381,66.4599,824.79,7.0192,0,1.817,151.8271,2.0497,0,0,1641.3307,27.8187,79.2063,4.514,0,1.624,314237.1875,382.3527,11.2338,3.4562,136.103,1.1583,0,0,11.376,2.0747,1328.3829,32.3964,6.498,1.7991,36.5538,7.8623,31.8141,8.8957,32.0282,1.3616,712.6943,10.7928,227.0142,2.0142
