Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
505,ucsb mining,211.09,0,28.69,29.16,28.74,"Sun Jan 15, 2023 - 19:15:17",User,2,ppm,,,,MAG_1,Mining,0,2.5162,90929.5859,692.9081,2.7834,1.5734,6.8735,3.3837,341.2965,33.8274,544137.4375,3357.4214,0,1.8961,6738.0986,127.0942,0,3.3528,33379.7227,84.9836,0,75.8461,113.6221,7.5332,24.8151,4.0659,40795.4297,154.3029,0,0,0,2.7173,30724.4238,236.938,22768.748,1330.3245,608.0483,35.9301,0,2.058,14.1978,0.8795,54.6741,7.4218,670.7758,68.929,29.9368,1.7551,0,1.8797,176.7155,2.2341,0,0,3511.5901,34.8463,0,6.4045,0,1.3154,220658.2031,354.3165,0,8.6924,125.5262,1.1397,0,0,16.627,1.367,3767.6458,47.6382,4.4492,1.7733,143.5981,13.3405,0,0,17.0997,1.0887,121.3325,5.4398,116.7417,1.5848
535,ucsb mining,210.36,0,29.28,29.15,29.03,"Sun Jan 15, 2023 - 21:24:33",User,2,ppm,,,,MAG_1,Mining,0,2.1597,90421.0312,679.9578,4.1174,1.565,0,4.8703,344.6682,33.5684,547485,3317.8079,0,2.6639,6788.9009,127.4366,0,3.3191,32449.0938,83.0336,0,76.2319,118.425,7.5738,22.5478,4.0083,40734.0938,154.3864,0,0,0,3.899,30758.7656,236.3533,23295.4375,1316.8861,624.4322,36.262,0,1.4699,12.5568,0.869,56.0896,7.6007,726.067,69.3098,27.103,1.7117,0,1.9128,174.327,2.2225,0,0,3414.2368,34.2006,0,6.323,0,2.165,218222.7656,350.4718,0,8.4446,124.8388,1.1367,0,0,16.0714,1.3745,3778.9214,47.5591,5.3872,1.7949,140.4159,13.2828,0,0,18.1566,1.0917,121.144,5.4302,115.4064,1.5774
582,ucsb mining,210.96,28.87,29.33,28.97,118.02,"Fri Jan 20, 2023 - 21:16:23",User,2,ppm,,,,MAG_1,Mining,0,2.2047,77949.4062,634.2811,3.8387,1.6177,0,4.8586,348.0906,34.2972,581436.3125,3088.28,0,1.858,6823.7554,126.025,0,3.39,32119.3867,82.4821,0,79.5322,106.0906,7.4369,24.0375,4.1197,40689.7891,155.3198,0,0,0,3.125,30712.7207,234.2486,17874.3105,1257.4241,606.8831,36.2822,0,1.494,13.5597,0.889,54.4717,7.6964,598.5957,66.7871,29.8087,1.7778,0,1.9128,174.3341,2.2455,0,0,3445.5322,34.2746,0,6.4635,0,1.7531,202777.5625,342.9521,5.5655,3.6177,127.1611,1.1617,0,0,15.0621,1.3419,3677.1445,47.9631,3.735,1.7821,125.5921,13.0915,0,0,17.5807,1.1042,122.0218,5.5324,117.6418,1.6106
587,ucsb mining,210.87,0,29.54,29.25,29.86,"Fri Jan 20, 2023 - 21:44:06",User,2,ppm,,,,MAG_1,Mining,0,2.1585,87315.7344,678.3492,4.3273,1.6216,5.1704,3.414,350.9788,33.8637,551642.375,3337.9399,0,1.9506,7244.3921,130.7155,0,3.3461,33896.8164,85.884,0,101.4055,114.2606,7.7279,25.5807,4.1878,40854.6562,157.7697,0,0,2.4085,1.9873,31681.5039,243.589,20712.5449,1310.1967,652.9144,37.5914,0,1.6257,14.128,0.9007,54.4405,7.8146,588.5037,68.0441,27.9056,1.7707,0,1.9016,178.2785,2.2921,0,0,3567.7764,34.6865,0,6.3688,0,1.3721,216677.1094,353.9279,0,7.697,126.8353,1.1719,0,0,18.586,1.4285,3842.1836,49.1359,3.5117,1.8083,136.655,13.6389,0,0,17.9825,1.1229,125.2225,5.6288,117.2063,1.6265
592,ucsb mining,211.23,0,29.7,29.69,29.16,"Fri Jan 20, 2023 - 22:04:50",User,2,ppm,,,,MAG_1,Mining,0,2.1777,87929.5469,684.0843,3.244,1.5532,0,4.7618,367.3054,33.8961,551060.125,3288.4932,0,2.6604,7179.4629,129.9827,0,3.3707,33594.7422,85.5457,0,76.1063,113.6422,7.6365,21.4363,3.9794,40969.6289,154.0177,0,0,0,3.3045,31720.8477,241.8572,20451.1328,1312.0754,615.132,35.9321,0,1.9769,13.9412,0.8742,52.2083,7.4651,625.0054,68.9571,27.927,1.7188,0,1.8898,180.3214,2.2433,0,0,3547.8467,35.0065,0,6.4036,0,1.2356,217176.4531,354.0602,0,7.7933,127.5672,1.1463,0,0,15.9103,1.3755,3813.3391,48.7573,2.5231,1.7281,131.246,13.4582,0,0,17.3351,1.0936,125.8063,5.4958,116.3255,1.5815
607,ucsb mining,210.34,0,29.2,29.82,29.57,"Fri Jan 20, 2023 - 23:07:35",User,2,ppm,,,,MAG_1,Mining,0,2.4046,86110.5078,675.0872,2.6866,1.6168,0,4.7057,347.2615,33.7371,558344.5,3258.8354,0,2.6344,6892.0278,127.1429,0,3.365,32496.3848,83.9277,0,76.3822,106.4327,7.4572,22.8173,4.0746,40765.3281,155.2404,0,0,0,4.5791,30520.3301,234.5347,20923.2656,1310.6742,622.9254,36.4529,0,1.6105,13.9418,0.8865,68.5396,7.7364,679.6788,68.8026,32.0785,1.8058,0,1.8446,175.0694,2.2407,0,0,3601.1436,35.3163,0,6.3495,0,1.2522,214039.9219,351.8728,0,8.9017,125.7818,1.1506,0,0,14.2427,1.3659,3713.5688,47.7981,3.9672,1.7783,129.6073,13.1482,0,0,18.3876,1.1058,114.7822,5.3926,114.8114,1.5878
667,ucsb mining,210.11,29.63,29.85,29.7,113.98,"Sat Jan 28, 2023 - 15:45:16",User,2,ppm,,,,MAG_1,Mining,0,2.1744,83625.3516,676.4808,4.0643,1.6864,0,5.0539,368.2611,34.2723,562447.875,3342.9485,0,2.9427,7170.1016,132.2718,0,3.3428,32208.4434,84.818,0,80.594,115.3347,7.7449,19.0125,4.183,41499.168,162.6809,0,0,0,4.1981,31337.9766,242.8924,17971.0938,1295.5797,633.1358,38.3911,0,2.2068,14.9373,0.9428,70.2233,8.1944,625.0698,70.127,29.154,1.8467,0,1.8991,177,2.3637,0,0,3410.8901,35.0831,0,6.4492,0,1.3142,213868.5938,357.8711,6.1825,3.6074,129.5123,1.221,0,0,16.9137,1.476,3836.6843,48.9468,5.5871,1.9163,147.3538,13.7122,0,0,18.9605,1.166,124.8317,5.8073,118.2914,1.686
672,ucsb mining,210.18,0,28.95,29.61,28.46,"Sat Jan 28, 2023 - 16:06:15",User,2,ppm,,,,MAG_1,Mining,0,2.1966,86618.9922,685.8463,2.3862,1.6666,0,5.0771,374.9835,34.6765,553009.125,3464.7078,0,2.0297,6956.1123,129.5088,0,3.3833,31896.5254,83.841,0,80.5628,116.8908,7.6499,23.8971,4.3113,41118.293,163.3203,0,0,0,3.6438,31077.8203,239.0687,22688.1387,1341.6859,643.0005,38.6137,0,1.5628,14.0987,0.9345,64.1314,8.0933,716.4321,70.3891,30.1537,1.875,0,1.9268,179.3135,2.3841,0,0,3422.3977,34.8613,0,6.5513,0,1.3728,216755.2031,357.0096,7.0796,3.6465,130.0651,1.2281,0,0,17.7033,1.4728,3733.4653,48.4687,4.8521,1.9047,145.3865,13.4764,0,16.8616,17.5021,1.1624,118.1206,5.752,117.961,1.691
677,ucsb mining,210.72,0,29.15,29.43,29.41,"Sat Jan 28, 2023 - 16:26:23",User,2,ppm,,,,MAG_1,Mining,0,3.0246,86849.5938,677.6725,4.2953,1.6512,0,4.9737,330.2758,34.149,557110.8125,3368.4084,0,2.5878,6684.7305,130.5962,0,3.3876,32360.0977,84.1138,0,78.886,105.9387,7.6741,24.5143,4.2479,40630.625,160.1657,0,0,0,3.5161,30576.8398,240.3674,21407.8574,1314.1306,595.068,37.2713,0,1.5343,12.8355,0.9096,61.7778,7.8652,766.3381,70.4818,28.1325,1.7999,0,1.9013,176.6321,2.3288,0,0,3312.9131,34.434,0,6.4854,0,1.6025,214846.4531,354.3037,0,7.4255,127.4115,1.1966,0,0,15.1856,1.4212,3583.8975,49.8325,4.7683,1.8617,126.0441,13.4662,0,0,18.8353,1.1482,120.9042,5.6674,117.2567,1.6559
682,ucsb mining,210.78,0,29.51,29.13,29.77,"Sat Jan 28, 2023 - 16:46:29",User,2,ppm,,,,MAG_1,Mining,0,2.2404,86252.2344,693.2946,4.5073,1.6514,6.4945,3.5547,374.662,34.9322,554365.4375,3454.5833,0,1.9696,6597.02,131.4251,0,3.4423,32026.623,84.3768,0,79.3882,99.5838,7.6968,23.13,4.2473,41004.7852,161.0988,0,0,0,3.8464,30422.7773,242.7517,22682.9199,1352.749,601.4735,37.3834,0,1.5565,14.6129,0.9314,66.9244,7.9668,790.4421,71.4135,27.1913,1.7944,0,1.9658,176.2136,2.3414,0,0,3533.9602,35.6617,0,6.579,0,1.403,216708.2344,358.459,8.7266,3.6813,128.4714,1.2073,0,0,17.3389,1.4353,3651.1721,49.5862,5.2373,1.8913,152.4017,13.8241,0,0,19.4648,1.1583,119.624,5.6868,118.3307,1.6721
733,ucsb mining,210.55,29.36,29.87,28.75,116.08,"Wed Feb 1, 2023 - 08:37:52",User,2,ppm,,,,MAG_1,Mining,0,2.2008,78567.125,653.8387,3.7408,1.6254,0,5.0181,368.0903,34.7293,576744.4375,3220.4795,0,1.9748,6691.0757,131.2919,0,3.3671,31270.7812,82.7941,0,78.671,110.9972,7.7695,28.1044,4.3111,40947.207,158.682,0,0,0,4.4391,30255.2676,241.0143,19878.5645,1306.7069,627.8006,37.5471,0,1.5331,13.6795,0.9108,56.6255,7.7951,699.5803,69.3849,27.9561,1.7895,0,1.9436,175.6618,2.3014,0,0,3261.0864,34.3753,0,6.5468,0,1.9068,206039.4844,351.1277,0,7.0958,129.6289,1.1964,0,0,16.7648,1.4174,3685.4797,49.8351,3.9912,1.8347,134.5774,13.6577,0,0,19.0378,1.1398,124.2936,5.6837,118.965,1.6541
738,ucsb mining,210.52,0,29.42,29.51,28.76,"Wed Feb 1, 2023 - 08:57:55",User,2,ppm,,,,MAG_1,Mining,0,2.548,84147.5469,674.166,3.4452,1.6147,0,4.8438,357.7685,34.0138,561906.0625,3256.4333,0,1.9245,7257.9956,132.4668,0,3.3805,32132.8047,84.0379,0,76.5383,118.7822,7.7517,23.0973,4.0935,40659.4844,155.4635,0,0,0,4.81,30684.375,241.7795,20882.1152,1319.6946,619.1354,36.4275,0,1.4857,13.6615,0.885,65.1058,7.6972,686.1168,69.8718,30.3373,1.7847,0,1.9021,174.8738,2.2457,0,0,3436.2563,34.8008,0,6.4385,0,1.3304,212446.0156,354.114,5.8585,3.5834,128.869,1.1671,0,0,15.7132,1.3703,3807.9431,48.8134,3.756,1.7843,142.3513,13.6589,0,0,16.3586,1.0935,117.6552,5.4546,116.5354,1.6043
743,ucsb mining,211.41,0,29.05,29.34,28.81,"Wed Feb 1, 2023 - 09:17:54",User,2,ppm,,,,MAG_1,Mining,0,2.2742,85303.3438,666.4908,2.9178,1.6279,0,4.7735,350.23,33.9376,561536.3125,3267.1174,0,1.8617,6996.0459,130.8986,0,3.3528,31479.6777,82.4359,0,77.7875,106.648,7.6087,26.5177,4.2506,40935.9023,157.8659,0,0,0,4.4274,30608.7012,238.9042,19156.1816,1278.2998,604.1368,36.6499,0,1.5258,13.8438,0.9066,70.6932,7.9291,734.5828,69.7003,30.2151,1.8189,0,1.9118,174.2104,2.2797,0,0,3423.7708,34.653,0,6.3885,0,1.3066,214180.9531,352.1858,0,5.6774,128.8661,1.1843,0,0,19.6737,1.4218,3714.9861,48.9082,5.2142,1.8497,134.4041,13.4594,0,13.078,19.211,1.131,123.5961,5.6502,119.1454,1.6438
