Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
3,Mining,210.35,29.06,28.99,28.81,116.63,"Mon Jan 10, 2022 - 11:56:42",User,2,ppm,Mining,,,,,,SdAR_M2_A,11.0901,1.5726,63732.1562,477.5032,38.0641,6.7188,0,6.5651,954.0952,33.0896,553430.5,1542.3218,0,3.1772,5829.5859,103.738,0,3.3022,0,27.0584,0,48.3984,95.3605,5.7826,235.2076,7.7334,14824.1426,104.6395,0,0,0,3.4615,42161.418,234.0494,3017.8662,670.2977,842.5658,37.8615,0,2.1918,18.5863,0.9626,35.491,6.4254,661.9288,62.0816,781.8785,7.0884,0,1.8871,165.0424,2.3762,0,0,2255.4355,29.9308,91.2094,4.5971,0,1.5578,308119.9688,355.1126,15.4401,3.5508,144.5906,1.1044,0,0,9.1864,2.1577,1467.5089,32.6249,0,2.0323,34.9709,8.044,0,12.6282,31.2728,1.3899,737.8029,11.1566,257.6198,2.1451
5,Mining,211.02,29.56,29.59,28.24,116.97,"Mon Jan 10, 2022 - 12:05:08",User,2,ppm,Mining,,,,,,SdAR_M2_B,11.5854,1.5654,68753.6797,490.2687,37.6586,6.6357,0,6.3622,948.0866,32.7434,534476.5625,1592.1067,0,3.0478,6440.0815,103.0615,0,3.638,45.3039,18.046,0,48.5215,86.319,5.6163,227.6321,7.6469,14880.3887,105.1412,0,0,0,3.9739,43213.1523,233.3229,3541.1716,679.4302,823.7183,37.5143,0,1.9189,17.616,0.9561,34.995,6.3953,621.7413,61.9492,757.239,6.9999,0,1.8825,159.565,2.343,0,0,2147.0549,28.9513,90.4465,4.552,0,1.5388,319878.1875,356.0243,12.2719,3.4986,143.8163,1.1041,0,0,11.8279,2.1282,1587.0854,32.3713,0,2.0125,39.5977,8.0923,0,12.5124,33.3185,1.3877,741.4154,11.2036,238.5117,2.0839
11,Mining,210.74,29.24,29.66,29.96,115.72,"Mon Jan 10, 2022 - 12:31:40",User,2,ppm,Mining,,,,,,SdAR_M2,9.7024,1.4931,71595.2734,505.3616,34.5199,6.8083,0,6.3303,943.0839,31.7555,525686.125,1668.2915,0,3.2067,7669.1528,109.7155,0,3.1922,785.03,21.2759,0,48.9574,98.2762,5.6797,228.1957,7.8114,14643.1914,106.5954,0,0,0,3.5216,42387.4609,229.8612,5525.8564,724.6162,844.555,38.6834,0,1.6952,18.1939,0.9754,43.6492,6.6738,787.3022,67.1124,771.6185,7.2031,0,1.7882,163.4692,2.4159,0,0,2568.552,30.9942,89.0329,4.4103,0,1.5384,322399.8125,358.5226,17.4447,3.4177,141.7444,1.1187,0,0,9.3835,2.1892,1495.7367,32.0445,0,2.0524,42.7277,8.0046,0,12.8989,29.2675,1.4052,713.1468,11.2309,258.4623,2.194
17,Mining,210.8,29.75,29.39,29.93,115.14,"Mon Jan 10, 2022 - 12:53:04",User,2,ppm,Mining,,,,,,SdAR_M2,10.2228,1.5643,72013.9297,506.7243,30.2723,6.5185,0,6.3753,932.8511,33.0629,522918.9375,1627.0056,0,3.1337,7963.5869,111.7568,0,3.3003,713.5338,21.0509,0,47.0162,99.5726,5.7056,221.7246,7.3947,14962.8115,102.8953,0,0,0,3.37,41562.2812,227.9531,5710.2012,727.4138,854.3915,37.1239,0,1.601,17.461,0.9287,49.4,6.4591,916.6339,69.2618,778.2458,6.9223,0,1.9125,162.1508,2.3125,0,0,2611.2708,31.3656,92.2133,4.6145,0,1.5145,324732.7812,357.9194,15.959,3.5601,143.7385,1.0772,0,0,8.1932,2.1093,1444.8263,32.2702,0,2.0244,40.8623,7.9866,0,12.4464,29.29,1.3439,736.7282,10.9019,225.9188,1.9897
24,Mining,210.3,29.88,29.82,29.94,114.25,"Mon Jan 10, 2022 - 13:23:19",User,2,ppm,Mining,,,,,,SdAR_M2,10.919,1.517,68346.0859,501.2073,37.4137,6.5104,0,6.3723,949.9352,31.9348,534254.3125,1600.7903,0,3.1583,11376.1045,126.8818,0,3.9559,1803.6646,25.2566,0,47.3819,106.2672,5.7363,227.6518,7.4815,14948.1377,103.0623,0,0,0,3.2521,40186.2656,224.085,5292.1875,735.4307,840.6378,37.0419,0,1.6105,16.1287,0.9241,45.4205,6.4502,1356.4045,79.9758,763.381,6.8733,0,1.8433,161.4122,2.3072,0,0,3694.1304,35.7399,95.5536,4.4641,0,1.5291,312785.8125,357.2938,16.5984,3.4319,146.5846,1.089,0,0,10.7332,2.1338,1486.6633,31.8434,0,1.9888,41.974,7.9539,0,12.2933,31.3738,1.3519,737.2346,10.9245,230.9851,2.0144
676,ucsb mining,210.53,0,0,0,0,"Sun Mar 13, 2022 - 15:25:38",User,2,ppm,,,,SdAR_M2_A,Mining,,,12.7239,1.6249,67319.0938,499.1876,32.4127,6.5965,0,6.5921,948.5658,33.6623,539475.6875,1602.7168,0,3.1301,5093.0845,96.8684,0,3.3765,40.3283,18.4575,0,48.0265,125.0458,5.8764,219.1891,7.4659,15116.334,104.5436,0,0,0,3.3951,42436.6289,231.2124,4360.9448,706.4884,848.2877,37.6231,0,1.6274,16.2153,0.9366,36.689,6.3246,590.8517,59.9692,772.3245,6.9884,0,1.9093,160.3311,2.3335,0,0,2219.1897,29.6364,91.3693,4.6839,0,1.5629,317388.9062,359.2451,15.1651,3.62,143.7502,1.092,0,0,7.5299,2.1125,1491.2876,31.4866,0,2.0606,38.7614,7.8834,0,12.6472,30.2807,1.3644,736.7106,11.0573,232.2227,2.0385
679,ucsb mining,210.77,0,0,0,0,"Sun Mar 13, 2022 - 15:39:30",User,2,ppm,,,,SdAR_M2_B,Mining,,,12.9407,1.5488,71231.7812,504.8523,41.3311,6.8507,0,6.4493,960.606,32.0814,526823.875,1659.0198,0,3.213,5803.3281,99.677,0,3.176,163.4768,18.7195,0,50.1198,102.2463,5.7505,227.8671,7.8182,15076.6738,107.9534,0,0,0,3.4252,43547.3906,235.1499,4604.3325,706.1709,844.3475,38.6816,0,2.7698,16.2973,0.9642,42.5961,6.7605,630.2842,61.8254,769.5696,7.2088,0,1.8124,162.5994,2.412,0,0,2395.3022,29.9649,92.9546,4.4609,0,1.5841,323687.3125,359.9068,13.5937,3.4308,142.7869,1.1243,0,0,10.7029,2.2024,1548.5801,32.172,0,2.0337,37.0823,8.0253,0,12.5821,31.0928,1.414,740.9093,11.44,238.1201,2.1275
690,ucsb mining,211.65,0,0,0,0,"Sun Mar 13, 2022 - 16:29:17",User,2,ppm,,,,SdAR_M2,Mining,,,14.6938,1.6211,72153.8672,511.6022,34.7835,6.6632,0,6.4816,951.3881,33.0267,523598.9375,1645.0629,0,3.2054,4996.6963,97.7706,0,3.3231,412.0601,20.2056,0,48.8714,113.7501,5.873,222.4428,7.6117,15035.9473,105.734,0,0,0,4.0725,42531.375,233.1084,3271.0391,684.5579,792.3341,37.1714,0,1.6723,15.1139,0.9403,44.5786,6.638,639.9935,61.3055,762.9147,7.0455,0,1.8671,160.7205,2.3693,0,0,2481.144,30.9576,87.5119,4.575,0,1.5721,329004.5938,362.5497,11.5397,3.5331,142.8651,1.1038,0,0,11.9896,2.1885,1438.6722,32.0165,0,2.456,47.125,8.0581,0,12.8692,29.2413,1.3763,740.6877,11.2334,252.0692,2.137
723,ucsb mining,211.36,0,0,0,0,"Fri Apr 1, 2022 - 08:25:34",User,2,ppm,Mining,,,,,,SdAR_M2_A,13.3549,1.5728,70777.1953,502.7412,32.0655,6.7127,0,6.4207,971.0146,32.5207,528128.1875,1638.4645,0,3.1221,5352.793,97.5162,0,3.2356,0,26.1833,0,49.2971,83.4999,5.5998,233.882,7.7965,15184.2285,106.9452,0,0,0,4.6618,43593.1836,234.9332,4107.9946,693.8178,845.7585,38.2394,0,1.69,16.6663,0.9586,27.4461,6.2641,582.6544,60.3506,767.9665,7.1151,0,1.8662,161.3736,2.3822,0,0,2075.1221,28.6961,97.2413,4.536,0,1.5639,324249.9062,359.1328,24.9942,3.5266,142.5498,1.1106,0,0,10.1563,2.1553,1454.4644,31.9226,0,2.0662,35.3749,7.9114,0,12.3895,31.8633,1.4006,733.4251,11.2586,265.6942,2.1971
726,ucsb mining,211.34,0,0,0,0,"Fri Apr 1, 2022 - 08:37:57",User,2,ppm,Mining,,,,,,SdAR_M2_B,12.4221,1.5381,71553.4141,504.4564,36.4179,6.7174,0,6.3492,953.549,31.9662,527191.75,1629.3767,0,3.1005,5974.7363,99.5567,0,3.2074,109.1952,18.4241,0,49.2813,102.166,5.6915,231.2448,7.7227,15174.626,106.3122,0,0,0,3.348,43432.6172,232.1072,4047.0017,693.3691,844.53,38.0756,0,2.2315,17.5056,0.9541,45.4033,6.6844,644.4998,62.0759,773.7318,7.0962,0,1.8716,161.7851,2.3705,0,0,2279.03,29.5418,89.9564,4.4374,0,1.5318,323658.75,358.7446,14.1184,3.4257,143.0509,1.1052,0,0,9.2638,2.1346,1466.7119,31.8541,0,2.051,29.1843,7.8015,0,12.2018,28.3906,1.3759,748.9742,11.2893,225.995,2.0454
