Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,Heat,Lot,Note,Sample Depth,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
1051,ucsb mining,210.88,0,0,0,0,"Fri May 20, 2022 - 07:35:20",User,2,ppm,,,,,,SdAR_L2,Mining,0,3.1472,63890.6328,487.9904,6.4213,3.3688,0,5.2997,808.7747,32.3726,531804.5,1625.1537,0,2.2664,5572.0537,98.067,0,3.2708,0,26.861,0,56.9442,70.263,5.6281,41.6869,4.7766,20342.1074,122.2202,0,0,0,2.7946,35631.6133,217.3059,2849.2385,674.5701,546.863,33.6383,0,1.9592,56.8876,1.2548,7.2702,5.985,490.6881,58.4932,171.888,3.6098,0,1.8816,133.0088,2.2321,0,0,889.9561,23.0154,13.0458,4.1934,0,1.2689,332787.5938,364.5701,19.8543,3.5669,147.0538,1.1476,0,0,17.6909,1.6433,2808.4382,36.8329,0,2.6075,62.0315,9.5962,0,0,59.102,1.3629,184.06,6.5511,587.1998,3.16
1054,ucsb mining,211.59,0,0,0,0,"Fri May 20, 2022 - 07:47:20",User,2,ppm,,,,,,SdAR_L2,Mining,3.464,1.4501,67939.1562,501.9061,6.2947,3.2674,0,5.0217,838.8269,32.1668,517716.1562,1633.6707,0,2.228,6034.6479,98.5277,0,3.245,41.2525,18.3391,0,55.8811,81.0491,5.6513,48.0559,4.7624,20213.3223,118.6354,0,0,0,2.9235,36742.1758,218.2397,3137.6157,684.0163,549.4943,32.6847,0,1.908,55.7778,1.2092,0,14.2488,455.8465,59.2944,171.2327,3.5026,0,1.8443,131.3758,2.1484,0,0,926.7673,23.2237,16.3088,4.162,0,1.2386,340779.75,365.4242,18.6628,3.5196,148.1679,1.1195,0,0,16.7596,1.5919,3031.9602,36.7202,0,1.9977,59.0468,9.6276,0,9.5004,57.2716,1.3127,189.16,6.4439,590.4171,3.0808
1057,ucsb mining,210.5,0,0,0,0,"Fri May 20, 2022 - 07:59:18",User,2,ppm,,,,,,SdAR_L2,Mining,4.4479,1.468,69542.1875,506.2247,7.6531,3.2924,0,5.1284,796.4611,32.0134,511838.4688,1663.2278,0,2.2669,6029.0024,99.4933,0,3.2196,57.5471,18.3427,0,56.0643,77.2107,5.6718,46.4128,4.7496,20280.0664,119.4648,0,0,0,2.9861,36954.2812,220.7497,4153.2339,702.4809,545.0414,32.7091,0,1.9131,54.723,1.2086,0,14.6734,477.0593,58.4613,170.2023,3.5145,0,1.9014,132.7017,2.1701,0,0,1003.5425,23.4754,16.197,4.1702,0,1.2662,343872.9375,366.4048,15.1289,3.5109,147.5997,1.1232,0,0,18.7562,1.6334,2865.4551,37.1269,0,2.0136,54.4748,9.601,0,9.8721,56.3576,1.3163,181.4869,6.3839,601.3891,3.1243
1064,ucsb mining,210.77,0,0,0,0,"Fri May 20, 2022 - 08:27:51",User,2,ppm,,,,,,SdAR_L2,Mining,2.962,1.4392,69521.9688,512.052,7.5057,3.3566,0,5.206,818.9351,31.9749,511724.9375,1683.9048,0,2.1857,5756.73,99.0872,0,3.2021,21.0651,18.5061,0,57.0155,78.1581,5.6723,41.7802,4.7161,20404.6289,121.1013,0,0,0,2.8042,35943.3047,217.8828,3723.6433,700.3308,559.4709,33.4354,0,1.951,56.2488,1.2367,0,13.8915,540.2672,60.6792,173.2569,3.5874,0,1.8675,133.712,2.217,0,0,943.6758,23.6981,11.5702,4.1277,0,1.2711,345508.5312,369.4237,17.2403,3.5056,148.8177,1.1418,0,0,20.4152,1.6443,2915.6665,37.2508,0,3.3111,54.573,9.6246,0,0,58.1598,1.3455,193.2353,6.5875,619.6407,3.2071
1074,ucsb mining,211.49,0,0,0,0,"Fri May 20, 2022 - 09:09:27",User,2,ppm,,,,,,SdAR_L2,Mining,4.5787,1.492,68765.8047,504.8043,9.0589,3.3303,0,4.8804,815.926,32.5756,513565.0625,1671.8074,0,2.2863,5704.3535,101.8524,0,3.2964,92.0716,18.7205,0,56.3285,75.0552,5.7825,42.0258,4.6847,20314.8477,119.8604,0,0,0,3.0474,35399.1719,221.6242,3266.5994,684.4569,584.4551,33.6852,0,1.937,54.598,1.226,9.0452,6.0547,571.4838,60.7781,171.2225,3.539,0,1.9054,134.1333,2.2043,0,0,992.2088,23.828,11.9177,4.2097,0,1.2476,345369.9062,368.2393,15.1157,3.5636,147.2227,1.1264,0,0,19.4316,1.653,2955.032,38.3241,2.5237,1.4271,57.9794,9.9282,0,10.1929,56.4577,1.3252,179.3256,6.3873,613.2982,3.1639
1080,ucsb mining,210.76,0,0,0,0,"Fri May 20, 2022 - 09:34:12",User,2,ppm,,,,,,SdAR_L2,Mining,1.9395,1.4242,68462.0312,506.5345,7.7639,3.3744,0,5.2057,782.4587,31.7905,516239.4688,1671.54,0,2.3192,5611.2476,99.5265,0,3.1885,106.0512,18.8692,0,57.337,79.7712,5.7282,49.4323,4.9212,20722.1289,122.3966,0,0,0,2.7058,35508.9688,218.1137,3525.7214,693.4044,567.1701,33.8262,0,1.9693,55.8478,1.2376,16.8368,6.2612,569.5505,61.139,172.7746,3.6032,0,1.8475,132.144,2.2084,0,0,1025.7506,24.0601,12.4422,4.1357,0,1.2997,342384.9062,368.3452,15.7055,3.4989,148.4928,1.1464,0,0,19.5421,1.6776,2862.8176,37.5964,0,2.0749,54.2854,9.6683,0,0,55.466,1.3364,194.39,6.6363,614.9095,3.2121
1086,ucsb mining,210.95,0,0,0,0,"Fri May 27, 2022 - 10:50:12",User,2,ppm,,,,,,SdAR_L2,Mining,3.2915,1.4863,62687.9922,481.5926,7.455,3.3933,0,5.2613,831.2523,32.9507,535818.9375,1598.0221,0,2.3073,5670.415,100.8849,0,3.3229,93.8963,18.642,0,57.1108,78.0393,5.7974,47.3478,4.874,20308.377,121.4378,0,0,0,2.8523,35770.7383,222.5382,2154.5469,657.4366,544.834,33.2969,0,1.9313,55.9677,1.2419,0,13.8659,481.0209,57.8782,175.5293,3.6246,0,1.967,133.2623,2.2192,0,0,923.7533,23.1512,13.7182,4.2615,0,1.277,330202.5625,363.7278,14.6768,3.5957,149.2739,1.1493,0,0,17.1181,1.6457,2925.3315,37.701,0,2.0979,59.9673,9.8519,0,0,58.4889,1.3537,189.5887,6.5869,582.491,3.1317
1089,ucsb mining,211.01,0,0,0,0,"Fri May 27, 2022 - 11:02:47",User,2,ppm,,,,,,SdAR_L2,Mining,0,2.7642,66293.1172,501.7743,9.1561,3.3549,0,4.9977,389.9677,27.138,519418.7812,1648.9661,0,2.1742,6301.5088,101.8357,0,2.5324,173.2529,19.0947,0,69.9094,82.8474,5.7989,47.4138,4.7679,20173.0801,118.8649,0,0,0,3.0043,36205.5195,221.3681,3558.8325,698.0387,568.491,33.2208,0,1.9374,56.6718,1.2208,0,8.8824,498.7958,60.7916,176.4693,3.566,40.8068,1.861,130.6192,2.1592,0,0,1011.2084,23.8114,79.9466,4.1306,0,1.275,340654.75,368.6227,0,3.9136,148.2468,1.1239,0,0,18.8797,1.6074,3029.1738,37.9165,0,2.4422,72.0182,10.0162,0,9.814,57.2448,1.3196,183.0892,6.403,620.0602,3.1619
1092,ucsb mining,210.8,0,0,0,0,"Fri May 27, 2022 - 11:14:54",User,2,ppm,,,,,,SdAR_L2,Mining,3.4163,1.4367,68303.2969,499.541,4.5733,3.5272,0,5.4571,813.9495,31.7568,515726.9375,1708.8315,0,2.3312,6014.4258,100.3818,0,3.1721,101.9503,18.4636,0,89.3306,77.7016,5.7392,40.9566,4.8976,20296.5234,126.2162,0,0,0,2.8144,36503.7852,222.1972,3501.1584,685.5332,531.017,34.2408,0,2.0433,56.8931,1.2909,0,11.431,476.7329,58.7295,180.1943,3.8078,0,1.8387,134.3731,2.3076,0,0,996.7582,23.409,13.1179,4.1082,0,1.3268,342200.3125,369.4306,15.2857,3.4736,148.1163,1.1887,0,0,18.9566,1.7178,2910.3198,37.3263,0,2.1435,64.2359,9.7969,0,0,56.5089,1.398,187.0985,6.7942,621.4622,3.3495
1102,ucsb mining,210.51,0,0,0,0,"Fri May 27, 2022 - 11:56:10",User,2,ppm,,,,,,SdAR_L2,Mining,2.232,1.4387,68120.9766,504.7894,8.7807,3.3317,0,5.085,815.8281,32.1866,514854.6562,1666.6613,0,2.2029,5954.2007,103.3201,0,3.2447,228.6106,19.2925,0,55.9588,76.8283,5.8331,47.0229,4.812,20119.3711,119.3351,0,0,0,3.0467,35791.0508,224.2329,4162.8779,705.504,571.4838,33.3728,0,1.9217,54.1406,1.2096,33.6562,6.5966,548.2762,59.8551,172.3397,3.5443,0,1.8661,133.1562,2.1827,0,0,1083.9774,24.1342,11.9593,4.1617,0,1.2537,343164.5312,368.3323,17.0258,3.5297,147.23,1.1252,0,0,20.1855,1.6354,2963.2029,38.2651,0,2.047,55.7063,9.9402,0,10.0925,55.9473,1.3192,189.8895,6.5072,594.8619,3.117
3,Mining,211.21,29.39,29.1,28.99,117.79,"Thu Jan 6, 2022 - 16:32:40",User,2,ppm,Mining,,,,,,SdAR_L2_A,2.3706,1.4348,68647.7266,496.8331,7.4748,3.2977,0,5.0291,807.7109,32.0312,510888,1635.7491,0,2.1449,5943.52,98.8158,0,3.2198,0,23.2554,0,59.1529,81.8017,5.7386,44.2312,4.6664,20162.9375,118.4102,0,0,0,3.0715,37055.6445,223.0939,3125.8545,673.6447,541.5099,32.4763,0,1.8785,55.9104,1.2073,0,8.8081,407.295,56.2133,173.8295,3.5239,0,1.8625,133.4688,2.1562,0,0,613.0432,21.2173,16.1018,4.1669,0,1.2743,347211.4062,364.7122,16.5268,3.5131,147.4956,1.1157,0,0,18.1833,1.5846,3012.7002,37.1583,0,1.9707,55.5248,9.7327,0,9.7546,57.671,1.3154,191.3163,6.461,580.7975,3.054
5,Mining,211.23,29.78,29.37,29.56,115.82,"Thu Jan 6, 2022 - 16:41:41",User,2,ppm,Mining,,,,,,SdAR_L2_B,3.0758,1.4005,70378.3281,502.9467,6.2809,3.3417,0,4.9656,793.8986,30.9879,509384.75,1661.1796,0,2.2298,5859.165,97.0611,0,3.1326,0,23.3109,0,57.0488,78.857,5.6205,42.7062,4.7155,20266.1484,120.969,0,0,0,3.088,36588.8984,218.3367,3164.8582,677.093,535.0045,32.8919,0,1.9145,56.9462,1.2349,0,8.9363,413.4397,58.3335,173.4827,3.5819,0,1.8179,131.8316,2.1889,0,0,647.6694,21.6092,14.4262,4.0264,0,1.1875,347374.3438,365.9179,14.6282,3.3936,145.6455,1.1302,0,0,17.7259,1.6224,3013.1624,36.8479,0,2.0306,57.1472,9.6242,0,9.8372,55.7322,1.3287,191.8718,6.5843,590.0229,3.134
