Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Heat,Lot,Note,Sample Depth,Mode,Ag,Ag 2-Sigma,Al,Al 2-Sigma,As,As 2-Sigma,Au,Au 2-Sigma,Ba,Ba 2-Sigma,Bal,Bal 2-Sigma,Bi,Bi 2-Sigma,Ca,Ca 2-Sigma,Cd,Cd 2-Sigma,Cl,Cl 2-Sigma,Co,Co 2-Sigma,Cr,Cr 2-Sigma,Cu,Cu 2-Sigma,Fe,Fe 2-Sigma,Hf,Hf 2-Sigma,Hg,Hg 2-Sigma,K,K 2-Sigma,Mg,Mg 2-Sigma,Mn,Mn 2-Sigma,Mo,Mo 2-Sigma,Nb,Nb 2-Sigma,Ni,Ni 2-Sigma,P,P 2-Sigma,Pb,Pb 2-Sigma,Pd,Pd 2-Sigma,Rb,Rb 2-Sigma,Re,Re 2-Sigma,S,S 2-Sigma,Sb,Sb 2-Sigma,Se,Se 2-Sigma,Si,Si 2-Sigma,Sn,Sn 2-Sigma,Sr,Sr 2-Sigma,Ta,Ta 2-Sigma,Th,Th 2-Sigma,Ti,Ti 2-Sigma,U,U 2-Sigma,V,V 2-Sigma,W,W 2-Sigma,Y,Y 2-Sigma,Zn,Zn 2-Sigma,Zr,Zr 2-Sigma
481,ucsb mining,210.85,0,29.15,29.18,29.09,"Sun Jan 15, 2023 - 17:36:50",User,2,ppm,,,,SdAR_L2,Mining,0,2.6409,77456.2266,561.3888,0,4.7595,4.9065,3.4739,676.1399,34.9128,506363.9688,3237.3652,0,2.1797,5713.6924,103.8993,0,3.187,0,25.6588,0,60.227,84.5604,5.8507,59.0851,4.7313,19608.4375,116.9306,0,0,0,3.7867,36684.7383,217.3413,7564.7197,894.4449,588.1401,35.7008,4.4661,1.2985,61.7859,1.2081,17.1646,5.8144,516.2264,66.3164,195.6202,3.5839,0,1.832,125.9664,1.8877,0,0,755.1904,22.7095,8.74,4.1619,0,1.3573,339681.2188,391.1307,15.5034,3.506,142.7192,1.1889,0,0,18.4533,1.5331,2724.6575,37.67,4.5997,1.7467,54.6215,9.6393,0,0,58.5763,1.3338,197.3408,6.3443,609.5067,3.1171
484,ucsb mining,210.79,0,29.96,29.37,28.46,"Sun Jan 15, 2023 - 17:48:38",User,2,ppm,,,,SdAR_L2,Mining,0,3.1711,80448.5625,566.1164,4.985,3.1427,0,4.7139,654.5244,34.9015,502618.0312,3226.3059,0,2.1901,5263.3452,101.1896,0,3.2215,0,25.3383,0,62.3424,82.5551,5.7657,60.7204,4.7375,19356.8984,115.9126,0,0,0,5.1351,36056.4062,213.871,6296.9937,865.4617,588.4849,35.5305,4.8357,1.2922,58.9285,1.1843,15.6225,5.7587,618.7747,67.9857,190.2453,3.5256,0,1.824,125.5848,1.8768,0,0,732.6522,22.7212,8.1084,4.1743,0,1.2916,343052.5938,391.9995,16.2378,3.5221,141.5623,1.1787,0,0,19.3559,1.5387,2667.0242,37.3799,5.3205,1.7522,56.076,9.5338,0,14.4389,55.7052,1.3087,193.4782,6.2922,606.3745,3.0947
495,ucsb mining,211.68,0,29.2,29.9,29.34,"Sun Jan 15, 2023 - 18:35:02",User,2,ppm,,,,SdAR_L2,Mining,1.9124,1.4231,81017.6641,563.3166,3.3806,3.168,0,5.0936,646.3469,34.5832,501374.25,3273.7092,2.0749,1.5478,5362.936,103.663,0,3.2157,0,25.8688,0,55.2859,75.2099,5.8199,53.5032,4.6471,19279.2754,117.3506,0,0,2.3194,1.9292,35531.3086,216.2345,6942.9248,869.3721,598.1057,36.2625,4.9182,1.3127,58.5129,1.1964,16.0823,5.7908,672.1895,68.4291,190.1157,3.5721,0,1.8001,125.777,1.9011,0,0,796.3627,22.9637,5.4891,4.1255,0,1.3233,343351.4688,390.1368,15.1715,3.486,140.3052,1.1902,0,0,17.7505,1.6476,2793.8213,38.7877,4.2013,1.7508,56.883,9.8727,0,0,55.1847,1.324,191.2162,6.3205,613.34,3.154
525,ucsb mining,210.27,0,29.93,29.17,29.24,"Sun Jan 15, 2023 - 20:42:37",User,2,ppm,,,,SdAR_L2,Mining,0,3.6198,80140.9609,572.3214,7.1704,3.1179,0,4.9345,659.9415,35.2656,503912.4375,3206.5432,0,2.6534,5390.5283,103.5595,0,3.2684,0,26.323,0,54.1516,82.6984,5.8302,55.5486,4.5646,19683.7402,114.9001,0,0,0,4.5399,35818.3008,215.3283,7222.3442,890.3727,609.8593,35.4314,5.3221,1.2754,60.5155,1.1784,14.7982,5.6014,688.573,69.2505,189.5149,3.4725,0,1.8468,126.3898,1.8565,0,0,782.5653,23.235,11.4563,4.2325,0,1.8234,340740.625,392.224,13.4581,3.5408,142.5276,1.1656,0,0,19.6558,1.5321,2696.9402,37.6423,5.4543,1.7318,58.1986,9.6478,0,0,57.8139,1.3029,199.7163,6.2472,602.9581,3.0441
583,ucsb mining,211.52,0,29.65,28.48,28.88,"Fri Jan 20, 2023 - 21:20:52",User,2,ppm,,,,SdAR_L2,Mining,0,3.2822,73181.9688,539.4435,7.5942,3.2596,4.566,3.5442,680.4998,35.3872,524657.125,3155.7322,0,2.2609,5546.6646,103.6649,0,3.2406,0,25.4267,0,56.4051,84.7312,5.8989,57.835,4.8228,19709.4277,119.6444,0,0,0,3.5881,36182.0352,217.121,4970.3115,837.7794,601.4921,36.7868,6.6409,1.344,58.4705,1.2186,20.6596,5.9882,468.7009,63.9067,190.5792,3.6221,0,1.8872,126.8389,1.939,0,0,710.7396,22.1126,10.1686,4.2203,0,1.3874,328899.125,386.683,16.6468,3.5542,143.0311,1.2166,0,0,18.3969,1.5728,2712.5166,37.9448,5.3539,1.8085,57.5328,9.7221,0,0,58.2506,1.3622,200.2263,6.5257,611.8552,3.1894
588,ucsb mining,211.19,0,28.81,28.76,29.82,"Fri Jan 20, 2023 - 21:48:08",User,2,ppm,,,,SdAR_L2,Mining,0,2.6478,76975.8125,552.9813,8.3329,3.2408,0,5.1809,667.1448,34.5736,514339.4375,3242.2324,0,2.1903,5688.2046,103.2226,0,3.1997,0,25.8952,0,73.8455,81.2566,5.8077,55.0195,4.7774,19380.5137,119.4722,0,0,0,3.3335,36307.9219,215.9816,6480.5752,866.3236,552.0413,35.8217,3.5306,1.3273,59.1752,1.223,21.2391,6.1239,542.4927,65.4162,185.4468,3.5917,0,1.8263,128.6135,1.9513,0,0,800.973,22.6663,10.5879,4.1365,0,1.3764,333771.4062,389.5768,17.345,3.4829,144.1696,1.2253,0,0,19.1376,1.5616,2833.4504,38.2142,4.3082,1.7857,43.9819,9.6494,15.0319,7.1224,56.9117,1.359,195.572,6.5183,610.3946,3.1988
593,ucsb mining,210.56,0,29.01,29.14,28.46,"Fri Jan 20, 2023 - 22:09:14",User,2,ppm,,,,SdAR_L2,Mining,2.7948,1.4499,77424.1562,550.1476,6.0107,3.1526,0,4.9033,681.4208,35.1872,514424.9688,3169.3818,0,2.2071,5508.0142,102.0829,0,3.2605,0,25.9966,0,54.8424,79.0858,5.7563,60.2193,4.7676,19427.4219,116.7486,0,0,0,3.7205,35384.7031,212.32,6507.4873,860.2062,599.8848,35.9371,5.954,1.3119,58.4831,1.1912,25.1802,5.9327,580.8762,66.2366,187.4404,3.5226,0,1.8473,126.3304,1.8961,0,0,788.8791,22.6278,14.3427,4.2146,0,1.2919,334164.8125,385.399,20.5518,3.5448,141.9932,1.1877,0,0,18.5474,1.5385,2838.9866,38.1717,5.9537,1.777,54.9507,9.7209,0,0,56.0607,1.3197,191.6301,6.2807,612.8387,3.1285
618,ucsb mining,211.82,0,29.53,29.41,28.94,"Fri Jan 20, 2023 - 23:52:26",User,2,ppm,,,,SdAR_L2,Mining,3.0004,1.4887,76310.0625,554.3232,6.4486,3.1396,0,4.8642,666.7352,35.8914,520484.4688,3110.0874,0,2.1717,5449.9106,104.2712,0,3.3288,0,28.6445,0,54.3627,81.053,5.8708,55.5839,4.6083,19719.2031,115.6529,0,0,0,3.1285,35176.1797,214.813,6438.0688,869.5421,608.2487,35.6375,4.7455,1.2823,58.6538,1.1786,23.0796,5.8006,633.0598,67.4106,190.7488,3.5064,0,1.8945,124.2812,1.8592,0,0,787.2438,22.9736,9.1501,4.2883,0,1.5712,329498.375,387.1463,16.7218,3.6135,140.188,1.164,0,0,21.523,1.5511,2578.5588,38.0695,6.7556,1.7673,49.584,9.588,0,0,58.0454,1.311,199.6536,6.2884,600.7042,3.056
669,ucsb mining,210.84,0,29.27,29.3,29.56,"Sat Jan 28, 2023 - 15:53:47",User,2,ppm,,,,SdAR_L2,Mining,0,2.5456,75641.2812,549.5173,6.4151,3.3673,0,5.0334,672.7024,35.1239,521885.7188,3290.0867,0,2.9713,5391.062,104.8315,0,3.2392,0,26.6265,0,58.616,85.0896,5.9105,52.7979,4.8909,19814.0664,124.6192,0,0,0,4.8239,35412.5938,217.2047,5436.5234,848.0657,557.1385,37.3276,5.2115,1.364,60.3388,1.2703,18.9737,6.1618,620.6011,67.8497,189.835,3.757,0,1.8575,126.58,2.0048,0,0,753.2816,22.6819,8.1443,4.1827,0,1.3512,329394.0625,391.6797,17.5237,3.5353,142.2546,1.2604,0,0,18.6182,1.6475,2799.6638,38.1767,4.0821,1.8391,61.0238,9.8534,0,15.0892,54.1203,1.387,194.2753,6.7265,576.0052,3.2221
674,ucsb mining,210.25,0,29.86,29.59,29.65,"Sat Jan 28, 2023 - 16:14:25",User,2,ppm,,,,SdAR_L2,Mining,2.3327,1.4288,77194.1641,566.6743,5.3473,3.2234,0,5.083,672.21,34.7338,515528.9375,3252.0757,0,3.1225,5157.9941,101.7009,0,3.2303,0,26.5817,0,56.1558,79.3909,5.718,48.2821,4.6185,19870.8496,120.0798,0,0,0,3.9127,35082.8516,211.1204,7107.9971,894.1925,567.7932,36.054,5.0441,1.3084,61.6309,1.2323,31.4452,6.1339,701.1367,68.8399,189.1405,3.6105,0,1.8534,125.4113,1.9296,0,0,682.7404,22.7443,10.0283,4.1506,0,1.3356,332979.8438,393.5603,15.6181,3.487,142.5235,1.214,0,0,18.3438,1.5843,2837.6328,37.838,5.9919,1.8142,53.7324,9.6341,0,0,54.9412,1.3378,199.5963,6.5049,567.0392,3.0808
678,ucsb mining,211.52,0,29.49,29.4,29.18,"Sat Jan 28, 2023 - 16:30:30",User,2,ppm,,,,SdAR_L2,Mining,1.9117,1.4625,77208.8203,561.2551,7.3494,3.2873,0,5.147,662.1844,35.6283,513751.4375,3340.062,0,2.5075,5096.5054,103.5983,0,3.3017,0,27.3163,0,56.9918,78.0856,5.8745,60.1123,4.9579,19544.0176,121.4851,0,0,0,3.6132,34980.9648,214.9728,8022.4014,899.4597,577.171,36.9278,5.6076,1.3485,60.1692,1.2436,20.8191,6.0527,742.2919,69.4414,186.5425,3.6569,0,1.8484,126.4949,1.9691,0,0,759.8461,23.0151,9.3599,4.2638,0,1.4174,334283.0938,392.0307,13.0957,3.5728,142.4594,1.2361,0,0,19.2745,1.613,2719.2358,38.6778,5.2521,1.8316,58.7592,9.8352,15.1402,7.2344,52.2612,1.3475,198.1926,6.6483,591.149,3.1976
683,ucsb mining,210.48,0,29.46,29.54,28.73,"Sat Jan 28, 2023 - 16:50:39",User,2,ppm,,,,SdAR_L2,Mining,1.9878,1.4701,77106.4922,563.5416,5.1736,3.3288,0,5.2654,667.0041,35.8348,516625.375,3346.0051,0,2.3212,5046.9438,101.0586,0,3.322,0,27.6723,0,57.598,73.989,5.6509,58.5087,4.9686,19633.707,122.8293,0,0,0,4.5937,34591.8906,208.1709,7614.1333,897.0789,596.5876,37.743,4.7904,1.3648,60.8132,1.2673,23.3226,6.1352,744.8024,69.9615,191.1036,3.7333,0,1.8857,124.3677,1.987,0,0,759.8342,23.1763,9.7049,4.2836,0,1.8593,332416.6562,391.9023,17.3997,3.6092,141.6725,1.2449,0,0,19.8692,1.6337,2553.5151,37.0175,8.4502,1.9296,54.7553,9.3559,0,0,56.2026,1.3842,194.5058,6.6308,596.4506,3.2409
734,ucsb mining,210.74,0,29.36,28.74,29.24,"Wed Feb 1, 2023 - 08:41:50",User,2,ppm,,,,SdAR_L2,Mining,2.1501,1.4841,72006.7812,539.1627,4.2415,3.2432,0,5.0761,672.9437,36.1725,534216.6875,3140.6533,0,2.2692,5486.7402,105.1282,0,3.327,0,26.6597,0,70.2864,85.4472,5.9328,56.7916,4.839,19515.4102,120.2626,0,0,0,3.4194,35415.3359,216.9975,6646.582,871.6182,598.5876,37.1619,5.3123,1.3459,59.7338,1.2363,21.3589,6.1306,585.5453,65.6793,189.7388,3.6488,0,1.9267,127.4407,1.9621,0,0,788.1714,22.7807,11.3361,4.3253,0,1.3625,319757,387.1205,19.0725,3.6457,141.5663,1.2205,0,0,19.6866,1.5993,2641.1401,38.1963,6.7335,1.8513,57.3094,9.7423,0,0,56.959,1.3661,198.3661,6.5511,605.8448,3.2008
739,ucsb mining,210,0,29.83,29.53,29.92,"Wed Feb 1, 2023 - 09:02:00",User,2,ppm,,,,SdAR_L2,Mining,0,3.3236,75302.6719,556.3927,6.8294,3.3486,0,5.1264,649.3053,35.121,525489.875,3282.3433,0,2.3,5476.9053,102.7378,0,3.2597,0,27.4909,0,57.994,84.8632,5.7632,55.6799,4.9521,19596.8027,123.8345,0,0,0,4.8649,35458.4727,211.9891,6450.7524,877.9756,569.9529,37.4265,4.9109,1.3667,62.5866,1.2829,25.6418,6.2567,632.2722,67.8586,187.4393,3.7336,0,1.8367,126.9085,2.0074,0,0,851.0598,23.4716,9.4761,4.2112,0,1.4235,325237.3438,392.1288,13.9269,3.5347,142.2069,1.2575,0,0,21.3053,1.6521,2651.8645,37.1539,5.2613,1.8679,51.482,9.4336,0,12.5205,54.3424,1.3859,194.377,6.7131,585.4768,3.2407
744,ucsb mining,210.88,0,29.78,29.25,28.7,"Wed Feb 1, 2023 - 09:21:55",User,2,ppm,,,,SdAR_L2,Mining,0,3.2568,74842.7109,549.4964,7.4397,3.2878,0,4.927,669.1064,35.4728,526252.625,3226.8896,0,2.9419,5306.8525,105.7817,0,3.2936,0,27.147,0,57.5801,73.7632,5.8937,54.6386,4.8498,19996.0215,122.6377,0,0,0,3.3316,34715.9609,216.805,7285.3208,883.618,578.676,36.9375,6.4431,1.3523,60.3974,1.2503,29.3106,6.2908,681.4812,67.7876,186.513,3.6549,0,1.8632,124.2279,1.9609,0,0,785.9735,23.0471,8.5038,4.2293,0,1.3656,324486.7812,389.667,15.7769,3.5641,141.2694,1.2317,0,0,18.1953,1.606,2775.0432,39.7509,7.0047,1.8699,51.4689,9.9907,15.1143,7.2187,54.9775,1.3618,185.2649,6.4846,583.1647,3.1778
